dealer_id,dealer_name,brand,emirate,area,address,po_box,tier,established_year,monthly_capacity,showroom_area_sqft,service_center,ev_charging_station,num_salespeople,annual_target_units,performance_score,google_rating,latitude,longitude
DLR0001,Honda Deira,Honda,Dubai,Deira,"Trade Centre, Airport Road",P.O. Box 89033,Silver,2007,499,37898,False,True,18,3933,92.7,4.3,25.27323,55.27954
DLR0002,Hyundai Centre Deira Automarket,Hyundai,Dubai,Deira Automarket,"Auto Mall, Al Ittihad Road",P.O. Box 13690,Platinum,1991,496,41435,True,True,74,1910,60.8,3.7,25.29133,55.34023
DLR0003,Mitsubishi Emirates Bur Dubai,Mitsubishi,Dubai,Bur Dubai,"Showroom, Al Ittihad Road",P.O. Box 29661,Silver,2011,287,42863,False,True,39,2825,68.3,4.7,25.24761,55.29672
DLR0004,Premier Mercedes-Benz Dubai Marina,Mercedes-Benz,Dubai,Dubai Marina,"Motor City, Emirates Road",P.O. Box 14546,Platinum,1988,595,18299,True,False,7,3592,61.9,3.7,25.03914,55.1375
DLR0005,Kia Deira,Kia,Dubai,Deira,"Auto Mall, Emirates Road",P.O. Box 81283,Platinum,2003,498,23874,True,True,47,835,73.4,4.7,25.2601,55.31059
DLR0006,Toyota Emirates Al Quoz,Toyota,Dubai,Al Quoz,"Motor City, Industrial Area",P.O. Box 73393,Silver,2012,213,37971,True,False,79,4908,88.5,3.7,25.15396,55.25188
DLR0007,Hyundai Showroom Sheikh Zayed Road,Hyundai,Dubai,Sheikh Zayed Road,"Trade Centre, Airport Road",P.O. Box 47023,Gold,2016,228,43490,True,True,73,5427,95.2,4.8,25.171,55.32845
DLR0008,Kia Showroom Sheikh Zayed Road,Kia,Dubai,Sheikh Zayed Road,"Showroom, Al Ittihad Road",P.O. Box 5897,Gold,1991,365,36425,True,True,18,5352,90.4,4.8,25.20089,55.28597
DLR0009,Gulf Toyota Al Quoz,Toyota,Dubai,Al Quoz,"Auto Mall, Maliya Street",P.O. Box 12764,Silver,2001,532,35725,True,False,53,4908,93.5,3.5,25.1019,55.255
DLR0010,Bur Dubai Mitsubishi,Mitsubishi,Dubai,Bur Dubai,"Showroom, Sheikh Zayed Road",P.O. Box 30399,Gold,2008,365,34975,False,True,60,5756,97.3,4.1,25.28516,55.25593
DLR0011,Al Futtaim Mercedes-Benz Al Quoz,Mercedes-Benz,Dubai,Al Quoz,"Motor City, Corniche Road",P.O. Box 78923,Silver,1990,532,24778,True,True,9,2045,69.0,4.3,25.15279,55.27314
DLR0012,Toyota Showroom Bur Dubai,Toyota,Dubai,Bur Dubai,"Showroom, Emirates Road",P.O. Box 81981,Gold,1996,365,22502,True,False,43,4717,58.7,4.1,25.29622,55.30601
DLR0013,Bur Dubai Toyota,Toyota,Dubai,Bur Dubai,"Auto Mall, Industrial Area",P.O. Box 58659,Gold,1999,385,11977,True,False,76,2001,93.1,4.5,25.25529,55.32766
DLR0014,Mitsubishi Al Quoz,Mitsubishi,Dubai,Al Quoz,"Trade Centre, Sheikh Zayed Road",P.O. Box 13611,Gold,1996,511,44333,True,False,27,3759,58.7,4.6,25.09659,55.27652
DLR0015,Al Futtaim Mercedes-Benz Al Quoz,Mercedes-Benz,Dubai,Al Quoz,"Auto Mall, Al Ittihad Road",P.O. Box 88680,Platinum,2008,329,25430,True,True,14,5236,82.5,4.8,25.17009,55.1961
DLR0016,Gulf Mitsubishi Al Ain,Mitsubishi,Abu Dhabi,Al Ain,"Auto Mall, Al Wahda Street",P.O. Box 9602,Silver,2017,345,21841,True,True,73,5636,68.8,4.8,24.16598,55.71537
DLR0017,Al Ain Toyota,Toyota,Abu Dhabi,Al Ain,"Motor City, Emirates Road",P.O. Box 90115,Gold,2002,544,40863,True,True,75,1884,96.4,4.5,24.16347,55.76496
DLR0018,BMW Emirates Musaffah,BMW,Abu Dhabi,Musaffah,"Trade Centre, Industrial Area",P.O. Box 86435,Silver,2015,517,43358,True,False,31,3869,71.5,4.9,24.36198,54.50317
DLR0019,Gulf Land Rover Abu Dhabi City,Land Rover,Abu Dhabi,Abu Dhabi City,"Auto Mall, Emirates Road",P.O. Box 91285,Silver,1995,269,38517,True,False,29,2097,55.4,4.7,24.46371,54.39448
DLR0020,MG Abu Dhabi City,MG,Abu Dhabi,Abu Dhabi City,"Showroom, Industrial Area",P.O. Box 50483,Platinum,1999,106,14190,True,True,42,5046,57.0,3.8,24.49365,54.33962
