year,state,ev_registrations,ev_share_pct
2019,All Vahan4 Running States (36/36),336152,0.0
2019,Andaman & Nicobar Island(5),4,0.0439
2019,Andhra Pradesh(84),4310,0.3766
2019,Arunachal Pradesh(29),2,0.0057
2019,Assam(35),21732,4.2122
2019,Bihar(48),24760,1.9536
2019,Chandigarh(1),1016,2.2026
2019,Chhattisgarh(31),5488,0.8209
2019,Delhi(16),46440,7.3016
2019,Goa(13),84,0.1133
2019,Gujarat(37),1894,0.1163
2019,Haryana(104),10216,1.2043
2019,Himachal Pradesh(98),108,0.0778
2019,Jammu and Kashmir(21),150,0.1036
2019,Jharkhand(25),3864,0.6907
2019,Karnataka(68),12276,0.777
2019,Kerala(87),1044,0.1139
2019,Ladakh(3),2,0.0956
2019,Lakshadweep(9),2,0.1263
2019,Madhya Pradesh(53),7368,0.4802
2019,Maharashtra(59),14644,0.635
2019,Manipur(17),502,1.3256
2019,Meghalaya(14),26,0.0779
2019,Mizoram(12),2,0.0065
2019,Nagaland(9),58,0.1997
2019,Odisha(39),2320,0.281
2019,Puducherry(8),162,0.2774
2019,Punjab(96),1922,0.2523
2019,Rajasthan(60),13270,0.8959
2019,Sikkim(9),0,0.0
2019,Tamil Nadu(148),6912,0.3507
2019,Telangana(57),2092,0.1905
2019,Tripura(9),2918,5.1779
2019,UT of DNH and DD(3),38,0.2084
2019,Uttar Pradesh(77),111824,3.3266
2019,Uttarakhand(21),11634,4.7317
2019,West Bengal(59),27068,2.3008
2020,All Vahan4 Running States (36/36),252060,1.2855
2020,Andaman & Nicobar Island(5),72,1.1579
2020,Andhra Pradesh(84),3300,0.3345
2020,Arunachal Pradesh(29),8,0.0381
2020,Assam(35),16714,4.1111
2020,Bihar(48),24894,2.4005
2020,Chandigarh(1),738,2.4071
2020,Chhattisgarh(31),2978,0.6181
2020,Delhi(16),24750,5.8573
2020,Goa(13),164,0.3867
2020,Gujarat(37),2248,0.1999
2020,Haryana(104),5962,0.9858
2020,Himachal Pradesh(98),362,0.2705
2020,Jammu and Kashmir(21),148,0.0802
2020,Jharkhand(25),3032,0.6276
2020,Karnataka(68),19366,1.6056
2020,Kerala(87),2754,0.4294
2020,Ladakh(3),0,0.0
2020,Lakshadweep(9),14,1.3183
2020,Madhya Pradesh(53),6724,0.5326
2020,Maharashtra(59),14254,0.8031
2020,Manipur(17),208,1.2792
2020,Meghalaya(14),6,0.0256
2020,Mizoram(12),2,0.0086
2020,Nagaland(9),24,0.1461
2020,Odisha(39),1806,0.3004
2020,Puducherry(8),180,0.4268
2020,Punjab(96),1664,0.3227
2020,Rajasthan(60),11222,1.0115
2020,Sikkim(9),0,0.0
2020,Tamil Nadu(148),11394,0.7632
2020,Telangana(57),2640,0.2705
2020,Tripura(9),6842,13.3923
2020,UT of DNH and DD(3),48,0.3652
2020,Uttar Pradesh(77),62592,2.3836
2020,Uttarakhand(21),4788,2.5836
2020,West Bengal(59),20162,1.9106
2021,All Vahan4 Running States (36/36),682480,3.4505
2021,Andaman & Nicobar Island(5),184,3.2185
2021,Andhra Pradesh(84),19362,2.0439
2021,Arunachal Pradesh(29),4,0.017
2021,Assam(35),31264,6.8399
2021,Bihar(48),46170,4.5709
2021,Chandigarh(1),1458,3.7773
2021,Chhattisgarh(31),8432,1.8496
2021,Delhi(16),51604,11.2594
2021,Goa(13),2198,4.316
2021,Gujarat(37),19522,1.5531
2021,Haryana(104),17330,2.7469
2021,Himachal Pradesh(98),652,0.5669
2021,Jammu and Kashmir(21),2294,1.4593
2021,Jharkhand(25),7480,1.5892
2021,Karnataka(68),66548,5.6441
2021,Kerala(87),17478,2.2817
2021,Ladakh(3),12,0.319
2021,Lakshadweep(9),10,0.8368
2021,Madhya Pradesh(53),20888,1.8149
2021,Maharashtra(59),59820,3.1106
2021,Manipur(17),228,0.6315
2021,Meghalaya(14),10,0.0386
2021,Mizoram(12),2,0.008
2021,Nagaland(9),4,0.0183
2021,Odisha(39),11252,2.0963
2021,Puducherry(8),812,1.8011
2021,Punjab(96),9300,1.7948
2021,Rajasthan(60),46956,4.4111
2021,Sikkim(9),0,0.0
2021,Tamil Nadu(148),60106,3.967
2021,Telangana(57),19286,2.2201
2021,Tripura(9),4868,10.5066
2021,UT of DNH and DD(3),56,0.3413
2021,Uttar Pradesh(77),133426,4.7723
2021,Uttarakhand(21),10642,5.4287
2021,West Bengal(59),12822,1.3429
2022,All Vahan4 Running States (36/36),2119086,9.4246
2022,Andaman & Nicobar Island(5),46,0.6523
2022,Andhra Pradesh(84),58708,6.9197
2022,Arunachal Pradesh(29),4,0.015
2022,Assam(35),81400,15.7758
2022,Bihar(48),111510,21.6113
2022,Chandigarh(1),5436,0.0
2022,Chhattisgarh(31),44728,8.6685
2022,Delhi(16),124476,24.8433
2022,Goa(13),11372,2.2697
2022,Gujarat(37),137982,27.5389
2022,Haryana(104),51716,10.3216
2022,Himachal Pradesh(98),2028,0.4048
2022,Jammu and Kashmir(21),9382,1.8725
2022,Jharkhand(25),27358,5.4602
2022,Karnataka(68),191572,38.2346
2022,Kerala(87),79278,15.8226
2022,Ladakh(3),80,0.016
2022,Lakshadweep(9),4,0.0008
2022,Madhya Pradesh(53),73634,14.6961
2022,Maharashtra(59),271980,54.2827
2022,Manipur(17),682,0.1361
2022,Meghalaya(14),86,0.0172
2022,Mizoram(12),72,0.0144
2022,Nagaland(9),6,0.0012
2022,Odisha(39),56890,11.3543
2022,Puducherry(8),2966,0.592
2022,Punjab(96),28118,5.6119
2022,Rajasthan(60),156562,31.2472
2022,Sikkim(9),0,0.0
2022,Tamil Nadu(148),134046,14.7816
2022,Telangana(57),69084,7.6181
2022,Tripura(9),8356,0.9214
2022,UT of DNH and DD(3),284,0.0567
2022,Uttar Pradesh(77),325818,10.8115
2022,Uttarakhand(21),31124,3.4321
2022,West Bengal(59),22298,2.2938
2023,All Vahan4 Running States (36/36),3165664,12.6826
2023,Andaman & Nicobar Island(5),52,0.644
2023,Andhra Pradesh(84),65750,7.3764
2023,Arunachal Pradesh(29),40,0.1292
2023,Assam(35),121584,18.6193
2023,Bihar(48),176446,13.6926
2023,Chandigarh(1),12792,24.0307
2023,Chhattisgarh(31),76496,13.5493
2023,Delhi(16),147468,22.4177
2023,Goa(13),18968,23.3337
2023,Gujarat(37),177230,9.729
2023,Haryana(104),61072,7.3064
2023,Himachal Pradesh(98),2278,1.7821
2023,Jammu and Kashmir(21),19506,11.3649
2023,Jharkhand(25),42250,7.7521
2023,Karnataka(68),305338,17.482
2023,Kerala(87),151648,19.9719
2023,Ladakh(3),75852,1474.5723
2023,Lakshadweep(9),18,2.9173
2023,Madhya Pradesh(53),135960,9.0734
2023,Maharashtra(59),388420,15.1521
2023,Manipur(17),798,2.9862
2023,Meghalaya(14),230,0.5699
2023,Mizoram(12),334,1.1649
2023,Nagaland(9),12,0.0439
2023,Odisha(39),89084,12.0414
2023,Puducherry(8),5274,9.5379
2023,Punjab(96),51504,8.0334
2023,Rajasthan(60),187636,12.3016
2023,Sikkim(9),0,0.0
2023,Tamil Nadu(148),180614,9.8907
2023,Telangana(57),100708,10.5797
2023,Tripura(9),12624,22.2673
2023,UT of DNH and DD(3),320,1.4348
2023,Uttar Pradesh(77),556698,16.1622
2023,Uttarakhand(21),33600,13.0781
2023,West Bengal(59),42856,4.2761
2024,All Vahan4 Running States (36/36),4169892,0.0
2024,Andaman & Nicobar Island(5),164,1.9388
2024,Andhra Pradesh(84),114986,12.6133
2024,Arunachal Pradesh(29),194,0.5271
2024,Assam(35),136846,21.7381
2024,Bihar(48),226292,16.2191
2024,Chandigarh(1),14112,30.4151
2024,Chhattisgarh(31),98944,13.8575
2024,Delhi(16),170734,24.0095
2024,Goa(13),23514,27.8879
2024,Gujarat(37),160684,8.4601
2024,Haryana(104),95586,9.5944
2024,Himachal Pradesh(98),4234,2.8657
2024,Jammu and Kashmir(21),26734,14.9
2024,Jharkhand(25),52562,9.075
2024,Karnataka(68),370990,19.6483
2024,Kerala(87),173790,22.2997
2024,Ladakh(3),40,0.7361
2024,Lakshadweep(9),30,5.2174
2024,Madhya Pradesh(53),202830,12.162
2024,Maharashtra(59),501556,17.3695
2024,Manipur(17),890,3.1717
2024,Meghalaya(14),1694,3.9974
2024,Mizoram(12),1148,3.8267
2024,Nagaland(9),90,0.3248
2024,Odisha(39),131938,16.2688
2024,Puducherry(8),9478,14.4758
