vehicle_id,maker,model,variant,category,vehicle_class,fuel_type,ex_showroom_price_inr,engine_cc,horsepower,mileage_kmpl,range_km,seating_capacity,transmission,drive_type,safety_rating,launch_year,is_active,warranty_years,ev_subsidy_eligible
IND001,Maruti Suzuki,Swift,VXI,Hatchback,Motor Car,Petrol,649000,1197,89,23.2,,5,Manual,FWD,4,2021,1,2,0
IND002,Maruti Suzuki,Swift,ZXI+,Hatchback,Motor Car,Petrol,799000,1197,89,23.2,,5,Automatic,FWD,4,2021,1,2,0
IND003,Maruti Suzuki,Baleno,Delta,Hatchback,Motor Car,Petrol,664000,1197,89,22.9,,5,Manual,FWD,4,2022,1,2,0
IND004,Maruti Suzuki,Baleno,Alpha,Hatchback,Motor Car,CNG,794000,1197,89,30.6,,5,Manual,FWD,4,2022,1,2,0
IND005,Maruti Suzuki,WagonR,LXI,Hatchback,Motor Car,Petrol,584000,998,67,24.4,,5,Manual,FWD,4,2019,1,2,0
IND006,Maruti Suzuki,WagonR,ZXI+,Hatchback,Motor Car,CNG,700000,998,58,34.0,,5,Manual,FWD,4,2019,1,2,0
IND007,Maruti Suzuki,Alto K10,STD,Hatchback,Motor Car,Petrol,399000,998,67,24.4,,5,Manual,FWD,3,2022,1,2,0
IND008,Maruti Suzuki,Dzire,LXI,Sedan,Motor Car,Petrol,649000,1197,89,23.3,,5,Manual,FWD,4,2021,1,2,0
IND009,Maruti Suzuki,Dzire,ZXI+,Sedan,Motor Car,CNG,832000,1197,89,31.1,,5,Automatic,FWD,4,2021,1,2,0
IND010,Maruti Suzuki,Ertiga,VXI,MPV,Motor Car,Petrol,896000,1462,103,19.3,,7,Manual,FWD,4,2022,1,2,0
IND011,Maruti Suzuki,Ertiga,ZXI,MPV,Motor Car,CNG,1019000,1462,87,26.1,,7,Manual,FWD,4,2022,1,2,0
IND012,Maruti Suzuki,Brezza,VXI,SUV,Motor Car,Petrol,1090000,1462,103,17.4,,5,Manual,FWD,5,2022,1,2,0
IND013,Maruti Suzuki,Brezza,ZXI+,SUV,Motor Car,Petrol,1390000,1462,103,17.4,,5,Automatic,FWD,5,2022,1,2,0
IND014,Maruti Suzuki,Grand Vitara,Delta,SUV,Motor Car,Petrol,1099000,1490,103,19.4,,5,Manual,FWD,5,2022,1,2,0
IND015,Maruti Suzuki,Grand Vitara,Alpha Hybrid,SUV,Motor Car,Hybrid,1679000,1490,116,27.97,,5,Automatic,FWD,5,2022,1,2,0
IND016,Maruti Suzuki,Fronx,Delta,Hatchback,Motor Car,Petrol,749000,1197,89,21.8,,5,Manual,FWD,4,2023,1,2,0
IND017,Maruti Suzuki,Jimny,Zeta,SUV,Motor Car,Petrol,1299000,1462,103,16.3,,4,Manual,4WD,4,2023,1,2,0
IND018,Hyundai,i20,Magna,Hatchback,Motor Car,Petrol,730000,1197,83,20.3,,5,Manual,FWD,4,2020,1,3,0
