year,quarter,developer,market_share_pct,units_launched,units_sold,avg_price_per_sqft
2019,Q1,Emaar Properties,12.92,611,518,2113
2019,Q1,DAMAC Properties,2.12,165,624,4199
2019,Q1,Nakheel,10.4,58,120,3325
2019,Q1,Meraas,8.97,297,601,1558
2019,Q1,Dubai Properties,11.11,293,236,1795
2019,Q1,Sobha Realty,2.33,305,577,3661
2019,Q1,Azizi Developments,10.76,337,539,1800
2019,Q1,Danube Properties,4.8,641,455,1930
2019,Q1,Ellington Properties,3.8,287,282,1776
2019,Q1,Binghatti,11.5,794,145,2687
2019,Q1,MAG,5.89,199,73,812
2019,Q1,Select Group,7.07,48,255,3101
2019,Q1,Tiger Properties,2.23,721,68,1399
2019,Q1,Others,6.1,618,315,1544
2019,Q2,Emaar Properties,0.84,367,50,3435
2019,Q2,DAMAC Properties,7.94,329,613,2573
2019,Q2,Nakheel,3.22,190,44,792
2019,Q2,Meraas,2.83,628,427,3530
2019,Q2,Dubai Properties,7.27,612,675,3098
2019,Q2,Sobha Realty,11.44,204,65,2731
2019,Q2,Azizi Developments,0.96,117,491,3734
2019,Q2,Danube Properties,10.78,163,174,2069
2019,Q2,Ellington Properties,7.5,598,163,4386
2019,Q2,Binghatti,8.39,645,145,1763
2019,Q2,MAG,13.77,699,289,1465
2019,Q2,Select Group,4.78,605,112,3442
2019,Q2,Tiger Properties,17.25,531,617,2387
2019,Q2,Others,3.04,592,335,1706
2019,Q3,Emaar Properties,2.61,507,75,1399
2019,Q3,DAMAC Properties,1.8,655,648,2247
2019,Q3,Nakheel,10.12,467,4,1157
2019,Q3,Meraas,4.97,601,55,1718
2019,Q3,Dubai Properties,7.16,532,626,2097
2019,Q3,Sobha Realty,4.69,639,33,1701
2019,Q3,Azizi Developments,3.02,687,483,1760
2019,Q3,Danube Properties,13.86,355,544,2179
2019,Q3,Ellington Properties,8.21,135,682,2605
2019,Q3,Binghatti,10.41,353,453,2865
2019,Q3,MAG,15.34,346,77,1385
