year,quarter,area,avg_sale_price_per_sqft_aed,avg_asking_price_aed,transaction_volume,price_qoq_change_pct,price_yoy_change_pct,avg_days_to_sell,rental_yield_pct
2015,Q1,Dubai Marina,1728.0,3021381.0,1325,1.24,0.09,119,6.29
2015,Q1,Downtown Dubai,2158.0,4117462.0,508,1.62,2.12,59,7.66
2015,Q1,Business Bay,1388.0,2427339.0,749,0.8,-2.49,172,5.63
2015,Q1,JVC,897.0,1668541.0,2165,0.85,-1.68,81,5.72
2015,Q1,Palm Jumeirah,3867.0,7303104.0,211,2.23,1.88,148,6.74
2015,Q1,JLT,1008.0,1784270.0,1368,-0.83,0.08,93,6.59
2015,Q1,DIFC,2718.0,5261017.0,1098,1.57,0.41,110,6.52
2015,Q1,Al Barsha,1237.0,2321151.0,1147,1.24,-0.17,125,5.53
2015,Q1,Mirdif,807.0,1474877.0,638,-0.28,0.4,45,6.63
2015,Q1,Dubai Hills Estate,1789.0,3322217.0,2231,2.9,-1.89,63,5.74
2015,Q1,Town Square,846.0,1599277.0,875,3.88,1.96,106,5.72
2015,Q1,Dubai Creek Harbour,1478.0,2501403.0,118,1.09,-0.82,140,5.85
2015,Q1,Arabian Ranches,1194.0,2080327.0,488,0.98,2.98,90,5.7
2015,Q1,Emaar Beachfront,2105.0,3298917.0,2368,-0.25,2.05,148,6.23
2015,Q1,Sports City,749.0,1412731.0,2403,1.14,-4.99,82,5.55
2015,Q2,Dubai Marina,1581.0,2752128.0,622,2.21,-0.29,108,6.34
2015,Q2,Downtown Dubai,2160.0,4091583.0,1672,2.48,-6.16,95,5.7
2015,Q2,Business Bay,1434.0,2677285.0,2058,0.16,-1.22,68,6.07
2015,Q2,JVC,907.0,1710289.0,1852,1.22,1.38,127,5.68
2015,Q2,Palm Jumeirah,3817.0,7588341.0,1922,0.97,3.02,98,6.42
2015,Q2,JLT,987.0,1969123.0,2311,3.55,1.15,32,6.08
2015,Q2,DIFC,2722.0,4752997.0,917,0.88,2.62,139,6.37
2015,Q2,Al Barsha,1226.0,2213396.0,444,1.43,-3.44,88,6.92
2015,Q2,Mirdif,796.0,1407360.0,968,0.34,2.72,93,5.89
2015,Q2,Dubai Hills Estate,1721.0,3347771.0,1351,2.01,-0.82,152,6.92
2015,Q2,Town Square,903.0,1640920.0,1115,2.89,-3.56,158,6.85
2015,Q2,Dubai Creek Harbour,1422.0,2408491.0,2163,5.0,1.49,118,6.1
2015,Q2,Arabian Ranches,1243.0,2218439.0,1560,0.1,0.48,167,6.69
2015,Q2,Emaar Beachfront,2021.0,3597778.0,2402,4.39,-3.22,38,7.39
2015,Q2,Sports City,777.0,1363765.0,2235,4.53,-1.14,87,5.22
2015,Q3,Dubai Marina,1638.0,2898217.0,659,1.93,0.51,155,6.12
2015,Q3,Downtown Dubai,2271.0,3890205.0,52,3.02,1.3,150,6.15
2015,Q3,Business Bay,1291.0,2693463.0,1224,0.82,0.85,170,6.5
2015,Q3,JVC,857.0,1510352.0,1603,1.05,3.73,177,6.68
2015,Q3,Palm Jumeirah,3734.0,7190905.0,1649,-2.91,0.78,113,6.35
2015,Q3,JLT,1003.0,1913799.0,1560,0.74,-1.52,129,6.09
2015,Q3,DIFC,2871.0,4915084.0,2173,2.26,-2.2,174,6.21
2015,Q3,Al Barsha,1196.0,2131684.0,692,-0.09,-1.17,138,6.6
2015,Q3,Mirdif,823.0,1373335.0,2209,2.61,-0.1,172,6.23
2015,Q3,Dubai Hills Estate,1846.0,3192679.0,2102,2.85,1.47,136,6.86
2015,Q3,Town Square,901.0,1494531.0,2191,-0.91,1.04,110,6.77
2015,Q3,Dubai Creek Harbour,1487.0,2350688.0,1622,2.51,-1.04,88,6.41
2015,Q3,Arabian Ranches,1286.0,2154807.0,51,2.42,-0.52,105,6.18
2015,Q3,Emaar Beachfront,2017.0,3497696.0,1436,-0.31,-1.52,74,5.82
2015,Q3,Sports City,740.0,1198674.0,961,-0.89,3.69,37,6.76
2015,Q4,Dubai Marina,1615.0,3163438.0,160,1.21,2.77,118,5.56
2015,Q4,Downtown Dubai,2230.0,3836496.0,339,2.59,2.1,140,6.54
2015,Q4,Business Bay,1355.0,2474820.0,2181,4.24,-1.3,50,6.67
2015,Q4,JVC,916.0,1484389.0,1703,0.28,-2.23,91,6.0
2015,Q4,Palm Jumeirah,4014.0,7585442.0,839,-0.18,-0.43,128,5.85
2015,Q4,JLT,1012.0,1822018.0,1838,1.16,-3.96,91,5.72
2015,Q4,DIFC,2808.0,5080706.0,137,0.36,2.74,138,5.2
2015,Q4,Al Barsha,1264.0,2150892.0,536,0.9,0.02,107,5.82
2015,Q4,Mirdif,793.0,1578577.0,341,0.52,-0.36,178,6.82
2015,Q4,Dubai Hills Estate,1740.0,3297721.0,1974,1.37,-0.61,126,5.49
2015,Q4,Town Square,911.0,1614459.0,1431,1.74,3.01,112,6.29
2015,Q4,Dubai Creek Harbour,1392.0,2634370.0,1943,2.23,0.72,37,6.71
2015,Q4,Arabian Ranches,1176.0,2197915.0,148,-0.31,3.28,39,5.26
2015,Q4,Emaar Beachfront,2078.0,3751511.0,1286,2.2,-1.14,38,6.67
2015,Q4,Sports City,725.0,1316581.0,969,1.21,1.04,44,5.76
2016,Q1,Dubai Marina,1555.0,2689914.0,2071,-0.14,1.17,58,5.63
2016,Q1,Downtown Dubai,2084.0,3508709.0,449,-1.44,-4.29,135,5.69
2016,Q1,Business Bay,1404.0,2470967.0,252,2.88,-2.96,173,6.09
2016,Q1,JVC,843.0,1465745.0,2261,-0.93,-2.93,99,5.36
2016,Q1,Palm Jumeirah,3983.0,6876684.0,2426,-1.37,-0.71,180,5.66
2016,Q1,JLT,972.0,1688672.0,479,3.97,0.51,81,6.63
2016,Q1,DIFC,2662.0,4569316.0,1166,0.28,-0.31,108,5.15
2016,Q1,Al Barsha,1161.0,2049526.0,2020,1.91,2.11,80,5.41
2016,Q1,Mirdif,768.0,1370942.0,2010,3.02,0.9,31,5.6
2016,Q1,Dubai Hills Estate,1686.0,2928999.0,1640,0.12,2.09,30,7.39
2016,Q1,Town Square,860.0,1584925.0,1716,3.05,-0.3,108,5.89
2016,Q1,Dubai Creek Harbour,1302.0,2203171.0,516,0.83,-4.15,143,6.68
2016,Q1,Arabian Ranches,1149.0,2053536.0,1345,0.74,-0.02,92,5.25
2016,Q1,Emaar Beachfront,1899.0,3540026.0,237,0.19,1.41,52,7.4
2016,Q1,Sports City,706.0,1213273.0,1937,1.05,2.31,110,6.33
2016,Q2,Dubai Marina,1443.0,2747369.0,821,1.43,-5.36,62,6.15
2016,Q2,Downtown Dubai,2005.0,3685762.0,300,0.09,-0.63,121,5.91
2016,Q2,Business Bay,1334.0,2410634.0,1772,-1.07,1.43,180,6.19
2016,Q2,JVC,834.0,1654811.0,1851,0.75,-2.2,84,6.46
2016,Q2,Palm Jumeirah,3996.0,6953889.0,113,-1.83,-1.23,32,6.66
2016,Q2,JLT,930.0,1713219.0,604,0.29,-2.77,105,6.33
2016,Q2,DIFC,2620.0,4498582.0,68,1.74,0.29,106,6.28
2016,Q2,Al Barsha,1101.0,2083795.0,566,1.17,1.62,110,5.7
2016,Q2,Mirdif,719.0,1383712.0,449,1.42,-0.81,104,4.82
2016,Q2,Dubai Hills Estate,1784.0,3023639.0,878,2.59,1.45,112,6.22
2016,Q2,Town Square,852.0,1495432.0,641,1.61,1.0,124,6.14
2016,Q2,Dubai Creek Harbour,1300.0,2395193.0,512,3.62,1.41,148,5.6
2016,Q2,Arabian Ranches,1100.0,2057096.0,2096,-0.51,-0.92,109,5.89
2016,Q2,Emaar Beachfront,1932.0,3460742.0,945,0.27,0.07,35,6.51
2016,Q2,Sports City,686.0,1256497.0,1427,0.73,-4.45,169,5.41
2016,Q3,Dubai Marina,1519.0,2897004.0,329,-1.76,3.25,67,5.4
2016,Q3,Downtown Dubai,2061.0,3697862.0,2159,2.23,0.69,172,5.83
2016,Q3,Business Bay,1316.0,2220932.0,1602,2.42,-0.93,39,5.96
2016,Q3,JVC,805.0,1586036.0,1693,1.03,-2.23,36,6.34
2016,Q3,Palm Jumeirah,4108.0,6984687.0,685,2.14,-3.27,145,6.31
2016,Q3,JLT,945.0,1701636.0,2390,2.18,1.73,76,6.45
2016,Q3,DIFC,2687.0,5091994.0,208,1.39,-2.06,38,5.9
2016,Q3,Al Barsha,1161.0,1921125.0,1160,0.79,-0.49,121,5.92
2016,Q3,Mirdif,751.0,1415788.0,2218,1.43,-2.54,37,6.44
2016,Q3,Dubai Hills Estate,1683.0,2827479.0,594,2.29,1.01,179,6.25
2016,Q3,Town Square,873.0,1613081.0,163,2.33,1.35,91,6.72
2016,Q3,Dubai Creek Harbour,1349.0,2537977.0,1444,2.06,-0.83,60,6.01
