listing_id,platform,listing_date,area,listing_type,property_type,bedrooms,bathrooms,area_sqft,price_aed,price_per_sqft,is_furnished,has_parking,view,days_on_market,num_views,num_inquiries,developer,is_verified,agent_id
PF-0000001,PropertyFinder,2024-09-13,Dubai Creek Harbour,Sale,Studio,2,2,2307,237073,856.36,True,True,No View,358,4885,58,Nakheel,True,AGT-00905
PF-0000002,Dubizzle,2024-03-11,Dubai Hills Estate,Sale,Townhouse,1,1,5306,4320943,814.35,False,False,City,67,4395,48,Independent,True,AGT-01000
PF-0000003,PropertyFinder,2024-11-28,JLT,Sale,Apartment,5,5,1705,88306,431.6,False,True,City,232,3159,144,Meraas,True,AGT-03064
PF-0000004,PropertyFinder,2024-11-19,Downtown Dubai,Rent,Apartment,2,2,2852,525679,1536.0,False,False,Garden,130,2632,120,Emaar,True,AGT-00052
PF-0000005,PropertyFinder,2024-10-30,Arabian Ranches,Rent,Apartment,2,2,1450,404896,2326.99,True,True,Pool,227,139,66,Other,True,AGT-00179
PF-0000006,Bayut,2024-03-25,DIFC,Rent,Apartment,3,3,1314,3252505,2475.27,False,False,No View,214,182,66,DAMAC,True,AGT-03499
PF-0000007,PropertyFinder,2024-03-01,Emaar Beachfront,Rent,Studio,2,2,2215,660162,2483.68,False,False,No View,302,2471,51,Sobha,True,AGT-03682
PF-0000008,Bayut,2024-03-28,Dubai Marina,Sale,Apartment,2,2,5129,299495,486.6,False,True,No View,345,1904,75,DAMAC,True,AGT-00595
PF-0000009,Bayut,2024-12-16,JVC,Rent,Apartment,1,1,680,140207,1718.23,True,True,City,257,2404,123,Nakheel,True,AGT-04117
PF-0000010,PropertyFinder,2024-02-11,Sports City,Sale,Apartment,4,4,1665,72566,363.2,True,False,Pool,281,3700,31,Meraas,False,AGT-02820
PF-0000011,Bayut,2024-05-11,Palm Jumeirah,Rent,Villa,2,2,2547,1079708,3532.61,False,True,City,184,1247,145,DAMAC,True,AGT-04083
PF-0000012,PropertyFinder,2024-04-11,Sports City,Sale,Villa,3,3,4111,989965,240.81,False,False,Pool,53,1896,100,DAMAC,True,AGT-00944
PF-0000013,Bayut,2024-02-12,Mirdif,Sale,Apartment,2,2,1140,261654,1912.68,False,True,Garden,351,3126,48,Nakheel,True,AGT-02522
PF-0000014,PropertyFinder,2024-11-24,JVC,Sale,Apartment,1,1,3212,139250,361.28,True,True,Pool,66,1343,144,Sobha,True,AGT-03387
PF-0000015,Bayut,2024-05-20,Emaar Beachfront,Rent,Villa,2,2,1940,4312775,2223.08,False,True,Garden,346,2744,150,DAMAC,True,AGT-04793
PF-0000016,Dubizzle,2024-05-10,Dubai Marina,Rent,Apartment,1,1,1447,1330051,919.18,False,False,Sea,94,3043,33,DAMAC,True,AGT-03523
PF-0000017,Dubizzle,2024-06-02,Town Square,Sale,Villa,2,2,3228,169379,437.27,False,True,Garden,157,3159,14,Emaar,True,AGT-02666
PF-0000018,Bayut,2024-11-30,JLT,Rent,Villa,1,1,3082,1273910,413.34,False,True,Pool,227,3557,62,Nakheel,False,AGT-04918
PF-0000019,PropertyFinder,2024-06-04,Al Barsha,Rent,Apartment,1,1,2888,246751,712.0,True,True,City,217,3887,70,Nakheel,False,AGT-02325
PF-0000020,Dubizzle,2024-03-10,DIFC,Rent,Apartment,4,4,1018,5830622,5727.53,True,True,No View,134,4464,57,Other,False,AGT-02068
PF-0000021,Bayut,2024-04-18,Mirdif,Sale,Apartment,2,2,5088,3004868,590.58,False,False,Pool,87,4550,106,Other,True,AGT-00927
PF-0000022,Bayut,2024-11-05,Arabian Ranches,Rent,Apartment,4,4,3853,4961531,1287.71,True,True,City,184,3845,137,Sobha,True,AGT-03036
