route_number,route_name,from_terminal,to_terminal,total_stops,route_length_km,frequency_mins,is_express,daily_ridership,ac_buses
444,Route 1,Al Satwa,International City,33,75.9,10,False,6190,True
510,Route 2,Al Ghubaiba,Silicon Oasis,8,68.8,20,False,3925,True
458,Route 3,Ibn Battuta,International City,21,41.1,15,False,21305,True
403,Route 4,Mall of Emirates,International City,12,17.9,30,False,6324,True
408,Route 5,JBR,Dubai Airport,29,45.9,30,True,4916,True
271,Route 6,Al Satwa,Silicon Oasis,38,84.6,20,True,5388,True
874,Route 7,Al Ghubaiba,International City,45,40.9,20,False,17289,True
734,Route 8,JBR,Jebel Ali,23,17.0,60,False,3712,True
756,Route 9,Al Satwa,Motor City,14,53.8,30,False,4268,True
062,Route 10,Mall of Emirates,Silicon Oasis,19,48.5,20,True,16107,True
317,Route 11,Al Ghubaiba,International City,37,51.0,15,False,21502,True
529,Route 12,Deira,International City,45,64.1,10,True,4269,True
003,Route 13,Al Ghubaiba,Silicon Oasis,33,54.4,30,False,24488,True
243,Route 14,Al Satwa,Jebel Ali,20,30.6,10,False,14794,True
601,Route 15,Al Satwa,Jebel Ali,27,9.8,10,True,18336,True
354,Route 16,Ibn Battuta,Jebel Ali,34,61.5,20,False,9735,True
578,Route 17,Deira,Silicon Oasis,9,47.4,15,False,20355,True
849,Route 18,Al Satwa,Silicon Oasis,43,83.7,30,True,17855,True
593,Route 19,Ibn Battuta,Motor City,26,80.9,15,False,1720,True
998,Route 20,Mall of Emirates,Motor City,11,35.4,15,False,13102,True
994,Route 21,Al Satwa,Silicon Oasis,44,53.9,20,False,11692,True
213,Route 22,Deira,Silicon Oasis,35,19.0,20,False,5143,True
787,Route 23,Al Satwa,International City,19,64.8,20,False,8652,True
874,Route 24,Al Satwa,Dubai Airport,26,78.1,60,False,19032,True
772,Route 25,Al Satwa,Silicon Oasis,9,55.0,10,False,22844,True
326,Route 26,Mall of Emirates,Dubai Airport,11,33.0,15,True,23356,True
847,Route 27,JBR,Motor City,25,64.6,60,False,8219,True
406,Route 28,Ibn Battuta,Motor City,17,72.3,10,True,5746,True
479,Route 29,Al Satwa,Motor City,35,11.1,15,True,20135,True
882,Route 30,Deira,Jebel Ali,31,41.4,20,True,20419,True
483,Route 31,Deira,Silicon Oasis,20,14.2,20,False,17384,True
142,Route 32,JBR,Jebel Ali,14,54.2,15,False,2193,True
168,Route 33,Al Ghubaiba,International City,17,16.8,20,False,19038,True
300,Route 34,Al Ghubaiba,Silicon Oasis,16,55.3,15,False,15429,True
591,Route 35,Ibn Battuta,Jebel Ali,21,39.5,20,True,14028,True
195,Route 36,Al Satwa,International City,25,76.2,30,False,24913,True
014,Route 37,Al Satwa,International City,18,8.8,15,False,22846,True
921,Route 38,JBR,Jebel Ali,28,33.2,20,False,20531,True
741,Route 39,Al Satwa,Silicon Oasis,33,71.6,10,False,15849,True
002,Route 40,Ibn Battuta,Silicon Oasis,14,21.1,60,True,22304,True
269,Route 41,Mall of Emirates,Silicon Oasis,35,44.3,15,False,1975,True
482,Route 42,Al Ghubaiba,Jebel Ali,13,25.5,15,False,18122,True
456,Route 43,JBR,Silicon Oasis,43,74.2,10,False,7601,True
549,Route 44,Al Ghubaiba,Motor City,25,14.9,15,False,2929,True
500,Route 45,Deira,Silicon Oasis,28,60.5,20,False,7962,True
263,Route 46,Al Satwa,Dubai Airport,27,34.4,20,True,3286,True
184,Route 47,Al Satwa,Motor City,36,26.5,60,False,15039,True
255,Route 48,Al Ghubaiba,Jebel Ali,27,46.3,60,False,18945,True
851,Route 49,Deira,Dubai Airport,25,36.0,15,False,17685,True
531,Route 50,Al Ghubaiba,Motor City,37,63.7,15,False,5955,True
010,Route 51,Mall of Emirates,Jebel Ali,33,26.6,20,False,8208,True
157,Route 52,Al Satwa,Jebel Ali,44,79.1,15,False,7657,True
896,Route 53,JBR,Dubai Airport,45,35.6,20,False,9560,True
370,Route 54,JBR,Dubai Airport,9,84.9,10,False,9915,True
137,Route 55,Deira,Jebel Ali,18,20.6,20,False,19741,True
333,Route 56,Al Ghubaiba,Jebel Ali,26,19.2,15,False,8310,True
968,Route 57,Deira,Silicon Oasis,24,9.5,20,False,10567,True
948,Route 58,Al Ghubaiba,Dubai Airport,40,72.4,15,False,12305,True
505,Route 59,Mall of Emirates,Motor City,22,19.5,10,True,15712,True
