ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
AE-0002,heliport,Burj al Arab Resort Helipad,689.0,AS,AE,AE-DU,Dubai,,,,,"25.141327, 55.185496"
AE-0003,small_airport,Skydive Dubai Airport,3.0,AS,AE,AE-DU,Dubai,,,,,"25.090037, 55.132345"
AE-0004,heliport,Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan Palace Heliport,,AS,AE,AE-DU,Dubai,,,,,"25.122566, 55.174681"
AE-0005,heliport,Kempinski Emirates Palace Twin Heliport,,AS,AE,AE-UQ,,,,,,"24.462095, 54.320529"
AE-0006,closed,Jebel Ali Seaplane Base,,AS,AE,AE-DU,Jebel Ali,,,,,"24.988967, 55.023796"
AE-0007,heliport,Al Ghuwaifat Border Post Helipad,157.0,AS,AE,AE-AZ,Al Ghuwaifat,,,,,"24.120353, 51.600516"
AE-0008,closed,Al Ghuwaifat Customs Post Helipad,161.0,AS,AE,AE-AZ,Al Ghuwaifat,,,,,"24.128339, 51.616767"
AE-0009,heliport,Delma Hospital Helipad,17.0,AS,AE,AE-AZ,Delma Island,,,,,"24.4756, 52.3101"
AE-0010,heliport,Schumacher Heliport,3.0,AS,AE,AE-DU,Dubai,,,,,"25.221807, 55.138836"
AE-0011,heliport,Falcon Helitours Palm Jumeirah Heliport,,AS,AE,AE-DU,Palm Jumeirah,,,,,"25.12763, 55.113517"
AE-0012,heliport,Waldorf Astoria Dubai Palm Jumeirah Helipad,,AS,AE,AE-DU,,,,,,"25.133372, 55.150379"
AE-0013,heliport,Oceana Palm Jumeirah Helipad,,AS,AE,AE-DU,Palm Jumeirah,,,,,"25.110083, 55.135169"
AE-0014,heliport,Ghantoot Racing & Polo Club Helipad,,AS,AE,AE-AZ,,,,,,"24.86824, 54.905556"
AE-0015,heliport,Golden Tulip Al Jazira Helipad,,AS,AE,AE-AZ,,,,,,"24.858628, 54.894996"
AE-0016,heliport,Ghantoot Hotel 1 Helipad,,AS,AE,AE-AZ,,,,,,"24.866038, 54.88826"
AE-0017,heliport,Ghantoot Hotel 2 Helipad,,AS,AE,AE-AZ,,,,,,"24.865417, 54.882283"
AE-0018,heliport,Riyadh Palace Helipad,3.0,AS,AE,AE-AZ,Ghantoot,,,,,"24.894949, 54.860294"
AE-0019,heliport,Dubai Festival City Helipad,,AS,AE,AE-DU,Dubai,,,,,"25.220765, 55.349227"
AE-0020,heliport,Yas Marina Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.468368, 54.609561"
AE-0021,heliport,Yas Marina Circuit Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.469136, 54.603443"
AE-0022,heliport,Al Mushrif Palace Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.452066, 54.377368"
AE-0023,heliport,Al Forsan Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.408318, 54.543228"
AE-0024,small_airport,Upper Yasat Island Airport,,AS,AE,AE-AZ,Al-Yasat,,,,,"24.221075, 52.006719"
AE-0025,heliport,Al Sila Former Hospital Heliport,135.0,AS,AE,AE-AZ,Baya Al Sila,,,,,"24.068301, 51.762519"
AE-0026,small_airport,Al Qaffay Airport,21.0,AS,AE,AE-AZ,Al Qaffay,OMQF,,OMQF,,"24.58956, 51.727293"
AE-0027,closed,Abu Dhabi Airfield,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45639, 54.38989"
AE-0028,heliport,Crown Prince Court Helipad 1,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45362, 54.34601"
AE-0029,heliport,Crown Prince Court Helipad 2,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.45439, 54.34625"
AE-0030,heliport,Federal National Council Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.46258, 54.33235"
AE-0031,heliport,Nation Tower Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.463993, 54.327638"
AE-0032,heliport,Sheikh Khalifa Medical City Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,,"24.47075, 54.3633"
