name,country,subcountry,geonameid
Warīsān,United Arab Emirates,Dubai,290503
Umm Suqaym,United Arab Emirates,Dubai,290581
Umm Al Quwain City,United Arab Emirates,Umm Al Quwain,290594
Ţarīf Kalbā,United Arab Emirates,Fujairah,290680
Ar Rāshidīyah,United Arab Emirates,Dubai,291061
Ras Al Khaimah,United Arab Emirates,Ras Al Khaimah,291074
Zayed City,United Arab Emirates,Abu Dhabi,291580
Khawr Fakkān,United Arab Emirates,Sharjah,291696
Kalbā,United Arab Emirates,Sharjah,291763
Jumayrā,United Arab Emirates,Dubai,291775
Dubai,United Arab Emirates,Dubai,292223
Dibba Al-Fujairah,United Arab Emirates,Fujairah,292231
Dibba Al-Hisn,United Arab Emirates,Fujairah,292239
Dayrah,United Arab Emirates,Dubai,292261
Sharjah,United Arab Emirates,Sharjah,292672
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Ḩattā,United Arab Emirates,Dubai,292862
Fujairah,United Arab Emirates,Fujairah,292878
Al Ain City,United Arab Emirates,Abu Dhabi,292913
Ajman,United Arab Emirates,Ajman,292932
Adh Dhayd,United Arab Emirates,Sharjah,292953
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968
Abū Hayl,United Arab Emirates,Dubai,292991
As Saţwah,United Arab Emirates,Dubai,385024
Al Ḩamīdīyah,United Arab Emirates,Ajman,414901
Al Waheda,United Arab Emirates,Dubai,6691079
Al Karama,United Arab Emirates,Dubai,6691091
Al Wasl,United Arab Emirates,Dubai,6691096
The Palm Jumeirah,United Arab Emirates,Dubai,6691113
Bur Dubai,United Arab Emirates,Dubai,7289825
Khalifah A City,United Arab Emirates,Abu Dhabi,8057551
Mirdif,United Arab Emirates,Dubai,8200824
Hawr al ‘Anz,United Arab Emirates,Dubai,8201275
Mankhūl,United Arab Emirates,Dubai,8225407
Nāyf,United Arab Emirates,Dubai,8226485
Al Murar al Qadīm,United Arab Emirates,Dubai,8226590
Al Warqaa,United Arab Emirates,Dubai,8469658
International City,United Arab Emirates,Dubai,8469668
Dubai Marina,United Arab Emirates,Dubai,8469788
Dubai Internet City,United Arab Emirates,Dubai,8469811
Al Safa,United Arab Emirates,Dubai,8469819
Ar Rumaylah,United Arab Emirates,Ajman,8475866
Al Jurf,United Arab Emirates,Ajman,8475923
Al Majaz,United Arab Emirates,Sharjah,8476509
Dubai Festival City,United Arab Emirates,Dubai,8541937
Dubai International Financial Centre,United Arab Emirates,Dubai,8541977
Dubai Investments Park,United Arab Emirates,Dubai,11048853
Jebel Ali,United Arab Emirates,Dubai,11524601
Bani Yas City,United Arab Emirates,Abu Dhabi,12042052
Musaffah,United Arab Emirates,Abu Dhabi,12042053
Al Shamkhah City,United Arab Emirates,Abu Dhabi,12047416
Reef Al Fujairah City,United Arab Emirates,Fujairah,12047417
Al Bada'a,United Arab Emirates,Dubai,13118420
Al Muteena,United Arab Emirates,Dubai,13118421
Al Mizhar First,United Arab Emirates,Dubai,13118422
Dubai Silicon Oasis,United Arab Emirates,Dubai,13118424
Al Furjan,United Arab Emirates,Dubai,13118431
Business Bay,United Arab Emirates,Dubai,13118432
Al Qusais 1,United Arab Emirates,Dubai,13118433
Halwan,United Arab Emirates,Sharjah,13118437
Al Sajaah,United Arab Emirates,Sharjah,13118438
Lahbab,United Arab Emirates,Dubai,13118439
Mohammed Bin Zayed City,United Arab Emirates,Abu Dhabi,13118447
