Country Name,Country Code,Year,Value
United Arab Emirates,ARE,1960,131334
United Arab Emirates,ARE,1961,137989
United Arab Emirates,ARE,1962,144946
United Arab Emirates,ARE,1963,152211
United Arab Emirates,ARE,1964,159692
United Arab Emirates,ARE,1965,167103
United Arab Emirates,ARE,1966,173976
United Arab Emirates,ARE,1967,179700
United Arab Emirates,ARE,1968,199416
United Arab Emirates,ARE,1969,239660
United Arab Emirates,ARE,1970,286536
United Arab Emirates,ARE,1971,335027
United Arab Emirates,ARE,1972,385014
United Arab Emirates,ARE,1973,436399
United Arab Emirates,ARE,1974,489087
United Arab Emirates,ARE,1975,542856
United Arab Emirates,ARE,1976,615866
United Arab Emirates,ARE,1977,710209
United Arab Emirates,ARE,1978,809274
United Arab Emirates,ARE,1979,912010
United Arab Emirates,ARE,1980,1015700
United Arab Emirates,ARE,1981,1099855
United Arab Emirates,ARE,1982,1166370
United Arab Emirates,ARE,1983,1235305
United Arab Emirates,ARE,1984,1305996
United Arab Emirates,ARE,1985,1377911
United Arab Emirates,ARE,1986,1467383
United Arab Emirates,ARE,1987,1574244
United Arab Emirates,ARE,1988,1681788
United Arab Emirates,ARE,1989,1789851
United Arab Emirates,ARE,1990,1898220
United Arab Emirates,ARE,1991,2006626
United Arab Emirates,ARE,1992,2114730
United Arab Emirates,ARE,1993,2222093
United Arab Emirates,ARE,1994,2328188
United Arab Emirates,ARE,1995,2434662
United Arab Emirates,ARE,1996,2597564
United Arab Emirates,ARE,1997,2817410
United Arab Emirates,ARE,1998,3040421
United Arab Emirates,ARE,1999,3266009
United Arab Emirates,ARE,2000,3493575
United Arab Emirates,ARE,2001,3723590
United Arab Emirates,ARE,2002,3956826
United Arab Emirates,ARE,2003,4192457
United Arab Emirates,ARE,2004,4428967
United Arab Emirates,ARE,2005,4664790
United Arab Emirates,ARE,2006,5009100
United Arab Emirates,ARE,2007,5624635
United Arab Emirates,ARE,2008,6302664
United Arab Emirates,ARE,2009,6707058
United Arab Emirates,ARE,2010,6869838
United Arab Emirates,ARE,2011,7104538
United Arab Emirates,ARE,2012,7391448
United Arab Emirates,ARE,2013,7693031
United Arab Emirates,ARE,2014,8059440
United Arab Emirates,ARE,2015,8505237
United Arab Emirates,ARE,2016,8935095
United Arab Emirates,ARE,2017,9223225
United Arab Emirates,ARE,2018,9346701
United Arab Emirates,ARE,2019,9445785
United Arab Emirates,ARE,2020,9401038
United Arab Emirates,ARE,2021,9575152
United Arab Emirates,ARE,2022,10074977
United Arab Emirates,ARE,2023,10483751
