year,month,date,overall_cpi,housing_cpi,food_cpi,transport_cpi,education_cpi,healthcare_cpi,yoy_inflation_pct
2010,1,2010-01-01,99.67,101.7,98.43,95.45,105.54,103.81,0.99
2010,2,2010-02-01,100.22,101.79,97.78,93.39,104.55,102.44,0.97
2010,3,2010-03-01,99.84,103.17,99.34,95.74,105.37,103.58,0.87
2010,4,2010-04-01,99.96,101.42,97.73,95.91,105.05,102.82,0.81
2010,5,2010-05-01,100.05,102.68,97.08,94.78,105.35,102.28,1.3
2010,6,2010-06-01,99.58,102.4,98.06,95.28,104.51,103.06,0.79
2010,7,2010-07-01,100.6,101.68,97.99,94.77,105.16,103.6,0.9
2010,8,2010-08-01,100.22,101.38,98.05,94.03,104.64,103.62,0.88
2010,9,2010-09-01,99.68,102.01,97.02,96.38,104.8,103.13,0.82
2010,10,2010-10-01,99.97,101.39,97.77,95.54,104.75,102.93,1.44
2010,11,2010-11-01,100.04,101.47,98.81,95.68,105.35,103.15,0.97
2010,12,2010-12-01,100.69,101.85,98.71,95.25,105.32,103.04,0.83
2011,1,2011-01-01,100.51,102.4,99.68,95.22,106.17,103.78,0.67
2011,2,2011-02-01,101.45,103.88,97.54,95.96,106.2,103.97,1.6
2011,3,2011-03-01,102.04,103.16,98.36,95.17,105.13,104.51,0.61
2011,4,2011-04-01,101.25,103.38,98.55,95.22,105.92,103.81,1.22
2011,5,2011-05-01,101.97,103.13,99.54,94.93,106.56,105.21,1.09
2011,6,2011-06-01,100.5,102.83,98.19,95.14,105.67,104.52,0.74
2011,7,2011-07-01,101.03,102.52,98.73,94.65,105.51,104.12,0.96
2011,8,2011-08-01,101.19,103.75,100.57,95.84,105.43,104.0,1.45
2011,9,2011-09-01,100.54,102.48,98.79,96.14,106.4,104.37,1.08
2011,10,2011-10-01,99.74,102.85,98.19,95.75,105.72,103.88,1.16
2011,11,2011-11-01,100.82,101.87,99.34,95.2,105.81,103.77,0.55
2011,12,2011-12-01,100.06,102.96,99.41,96.57,104.77,103.73,1.12
