year,quarter,date,labor_force_thousands,employed_thousands,unemployment_rate_pct,private_sector_pct,construction_employment_thousands,real_estate_employment_thousands,avg_monthly_salary_aed
2010,Q1,2010-03-01,5995,5823,2.87,84.0,1094,88,7561
2010,Q2,2010-06-01,5993,5843,2.51,83.3,1106,107,7792
2010,Q3,2010-09-01,5823,5689,2.3,84.4,1204,88,8296
2010,Q4,2010-12-01,5942,5824,1.99,82.4,1103,100,7661
2011,Q1,2011-03-01,5811,5662,2.56,81.8,1138,116,7463
2011,Q2,2011-06-01,5785,5612,2.99,81.3,1178,113,7102
2011,Q3,2011-09-01,5911,5779,2.24,81.5,1118,121,7990
2011,Q4,2011-12-01,5869,5712,2.67,83.1,1107,104,7391
2012,Q1,2012-03-01,6033,5906,2.1,84.0,1156,90,8435
2012,Q2,2012-06-01,5984,5848,2.28,80.6,1110,107,7773
2012,Q3,2012-09-01,6120,5966,2.52,77.1,1130,101,7894
2012,Q4,2012-12-01,5994,5859,2.26,83.2,1145,89,8087
2013,Q1,2013-03-01,6183,6032,2.44,79.5,1091,114,7939
2013,Q2,2013-06-01,6182,5992,3.08,81.4,1211,130,7494
2013,Q3,2013-09-01,6147,6012,2.19,83.7,1155,111,8533
2013,Q4,2013-12-01,6302,6112,3.01,80.8,1110,96,8529
2014,Q1,2014-03-01,6340,6163,2.79,83.6,1069,117,8819
2014,Q2,2014-06-01,6255,6099,2.49,80.1,1185,118,8971
2014,Q3,2014-09-01,6122,5955,2.73,79.7,1185,124,8804
2014,Q4,2014-12-01,6479,6282,3.04,81.8,1184,125,8705
2015,Q1,2015-03-01,6333,6188,2.29,82.9,1308,110,8390
2015,Q2,2015-06-01,6257,6125,2.11,80.6,1300,126,9662
2015,Q3,2015-09-01,6343,6202,2.23,84.8,1231,127,8748
2015,Q4,2015-12-01,6516,6343,2.65,84.8,1226,127,8799
2016,Q1,2016-03-01,6349,6210,2.19,80.6,1213,135,8663
2016,Q2,2016-06-01,6585,6401,2.79,80.8,1265,118,8869
2016,Q3,2016-09-01,6512,6334,2.73,82.5,1280,117,8336
2016,Q4,2016-12-01,6498,6345,2.35,84.2,1164,125,9165
2017,Q1,2017-03-01,6786,6616,2.5,82.5,1242,128,9455
2017,Q2,2017-06-01,6674,6532,2.13,82.5,1283,126,9400
2017,Q3,2017-09-01,6515,6364,2.32,82.6,1284,124,9280
2017,Q4,2017-12-01,6622,6443,2.71,81.6,1252,135,9063
2018,Q1,2018-03-01,6873,6747,1.83,84.7,1303,136,9401
2018,Q2,2018-06-01,6654,6460,2.92,82.6,1188,143,9399
2018,Q3,2018-09-01,6686,6507,2.67,79.7,1226,133,9364
2018,Q4,2018-12-01,6826,6685,2.07,82.1,1167,128,9537
2019,Q1,2019-03-01,6808,6686,1.79,83.4,1288,146,10000
2019,Q2,2019-06-01,6554,6377,2.7,80.1,1277,136,9661
2019,Q3,2019-09-01,6970,6793,2.54,82.9,1370,139,9708
2019,Q4,2019-12-01,6957,6784,2.49,84.1,1406,118,9367
2020,Q1,2020-03-01,7115,6727,5.45,82.7,1318,142,9175
2020,Q2,2020-06-01,6782,6433,5.14,86.8,1294,135,10198
2020,Q3,2020-09-01,7001,6675,4.65,82.2,1328,133,10336
2020,Q4,2020-12-01,7051,6691,5.1,80.8,1229,152,9820
2021,Q1,2021-03-01,7072,6863,2.95,80.5,1386,134,9944
2021,Q2,2021-06-01,7146,7002,2.02,85.3,1343,134,10393
2021,Q3,2021-09-01,6947,6754,2.78,85.3,1257,140,10186
2021,Q4,2021-12-01,7136,6980,2.19,83.3,1381,155,10357
2022,Q1,2022-03-01,7245,7076,2.33,82.3,1325,163,10691
2022,Q2,2022-06-01,7370,7186,2.5,83.8,1298,161,10169
2022,Q3,2022-09-01,7194,7044,2.09,81.7,1280,154,11031
2022,Q4,2022-12-01,7338,7147,2.6,80.0,1408,146,10671
2023,Q1,2023-03-01,7300,7149,2.07,79.6,1432,156,10687
2023,Q2,2023-06-01,7296,7099,2.7,81.1,1383,158,10545
2023,Q3,2023-09-01,7317,7156,2.2,84.7,1371,154,10996
2023,Q4,2023-12-01,7204,7048,2.17,83.4,1359,160,10794
2024,Q1,2024-03-01,7457,7275,2.44,83.5,1309,156,10855
2024,Q2,2024-06-01,7630,7451,2.34,83.8,1388,161,11064
2024,Q3,2024-09-01,7656,7462,2.54,81.0,1383,170,10630
2024,Q4,2024-12-01,7550,7369,2.4,82.3,1398,163,11074
