year,gdp_usd_billion,gdp_growth_rate_pct,oil_gdp_usd_billion,non_oil_gdp_usd_billion,gdp_aed_billion,per_capita_gdp_usd
2000,104.3,12.2,45.2,59.1,383.0,33059
2001,95.0,-8.9,35.6,59.4,348.8,29043
2002,99.3,4.5,38.2,61.1,364.6,29301
2003,123.2,24.1,52.3,70.9,452.4,34940
2004,148.0,20.1,68.5,79.5,543.5,40261
2005,180.6,22.0,90.8,89.8,663.2,46970
2006,222.1,23.0,108.4,113.7,815.6,55221
2007,257.9,16.1,115.2,142.7,947.0,61654
2008,315.5,22.3,160.3,155.2,1158.5,72164
2009,253.5,-19.6,95.8,157.7,930.9,55241
2010,289.8,14.3,120.4,169.4,1064.1,60628
2011,348.7,20.3,155.3,193.4,1280.4,69880
2012,374.0,7.3,163.2,210.8,1373.3,71049
2013,392.8,5.0,162.8,230.0,1442.4,71771
2014,404.3,2.9,153.5,250.8,1484.6,71888
2015,370.3,-8.4,107.8,262.5,1359.7,64177
2016,357.1,-3.6,90.3,266.8,1311.3,60219
2017,385.6,8.0,110.4,275.2,1415.9,63379
2018,422.2,9.5,140.0,282.2,1550.3,68064
2019,421.1,-0.3,126.8,294.3,1546.3,43101
2020,354.3,-15.9,87.5,266.8,1301.0,38220
2021,415.0,17.2,118.5,296.5,1523.9,42017
2022,507.2,22.2,195.7,311.5,1862.4,51284
2023,504.2,-0.6,172.8,331.4,1851.4,50435
2024,527.8,4.7,175.2,352.6,1938.1,51745
