year,month,date,uae_base_rate_pct,eibor_1m_pct,eibor_3m_pct,eibor_6m_pct,eibor_12m_pct,avg_mortgage_rate_pct,fixed_mortgage_rate_pct,variable_mortgage_rate_pct,fed_funds_rate_pct
2015,1,2015-01-01,0.559,0.557,0.77,0.83,1.029,2.631,2.921,2.242,0.25
2015,2,2015-02-01,0.536,0.509,0.62,0.836,1.013,2.55,3.023,2.35,0.25
2015,3,2015-03-01,0.492,0.612,0.652,0.839,1.048,2.485,2.98,2.398,0.25
2015,4,2015-04-01,0.489,0.564,0.666,0.898,0.969,2.467,3.147,2.177,0.25
2015,5,2015-05-01,0.439,0.608,0.752,0.833,0.986,2.458,3.105,2.335,0.25
2015,6,2015-06-01,0.439,0.573,0.654,0.817,1.006,2.377,3.052,2.27,0.25
2015,7,2015-07-01,0.511,0.512,0.708,0.89,1.022,2.435,2.931,2.384,0.25
2015,8,2015-08-01,0.603,0.535,0.757,0.806,0.985,2.523,2.984,2.247,0.25
2015,9,2015-09-01,0.439,0.582,0.764,0.883,1.019,2.57,2.994,2.171,0.25
2015,10,2015-10-01,0.566,0.644,0.733,0.906,1.025,2.706,2.942,2.201,0.25
2015,11,2015-11-01,0.555,0.585,0.758,0.792,1.074,2.577,2.835,2.383,0.25
2015,12,2015-12-01,0.49,0.61,0.731,0.89,1.096,2.321,3.082,2.467,0.25
2016,1,2016-01-01,0.741,0.905,0.896,1.032,1.216,2.8,3.256,2.721,0.5
2016,2,2016-02-01,0.775,0.771,0.947,1.047,1.34,2.797,3.303,2.489,0.5
2016,3,2016-03-01,0.715,0.885,1.068,1.198,1.381,2.81,3.215,2.604,0.5
2016,4,2016-04-01,0.725,0.788,0.937,1.151,1.191,2.659,3.287,2.411,0.5
2016,5,2016-05-01,0.703,0.889,0.979,1.185,1.317,2.734,3.372,2.545,0.5
2016,6,2016-06-01,0.761,0.752,1.0,1.132,1.291,2.769,3.333,2.573,0.5
2016,7,2016-07-01,0.737,0.943,1.008,1.061,1.319,2.86,3.185,2.578,0.5
2016,8,2016-08-01,0.777,0.84,0.963,1.075,1.307,2.614,3.208,2.458,0.5
2016,9,2016-09-01,0.778,0.896,1.0,1.089,1.202,2.781,3.138,2.194,0.5
2016,10,2016-10-01,0.724,0.935,0.922,1.062,1.206,2.583,3.232,2.677,0.5
2016,11,2016-11-01,0.699,0.809,0.889,1.2,1.246,2.687,3.227,2.446,0.5
2016,12,2016-12-01,0.72,0.932,0.916,1.107,1.257,2.743,3.295,2.463,0.5
2017,1,2017-01-01,1.544,1.613,1.742,1.944,2.031,3.339,3.949,3.231,1.25
2017,2,2017-02-01,1.454,1.543,1.704,1.81,1.971,3.71,4.067,3.425,1.25
2017,3,2017-03-01,1.498,1.627,1.621,1.84,1.971,3.437,4.04,3.338,1.25
2017,4,2017-04-01,1.497,1.608,1.736,1.845,1.979,3.672,4.107,3.387,1.25
2017,5,2017-05-01,1.438,1.597,1.732,1.861,2.003,3.458,3.906,3.417,1.25
2017,6,2017-06-01,1.592,1.598,1.658,1.855,2.006,3.611,4.07,3.199,1.25
2017,7,2017-07-01,1.569,1.679,1.704,1.798,2.076,3.496,3.903,3.2,1.25
2017,8,2017-08-01,1.406,1.597,1.645,1.937,2.126,3.48,4.03,3.367,1.25
2017,9,2017-09-01,1.474,1.53,1.74,1.861,2.049,3.48,3.984,3.215,1.25
2017,10,2017-10-01,1.434,1.588,1.695,1.89,1.969,3.681,4.015,3.394,1.25
2017,11,2017-11-01,1.563,1.651,1.653,1.796,2.113,3.389,3.908,3.351,1.25
2017,12,2017-12-01,1.424,1.603,1.703,1.897,2.005,3.49,3.969,3.193,1.25
2018,1,2018-01-01,2.662,2.869,2.941,3.069,3.342,4.835,5.112,4.435,2.5
2018,2,2018-02-01,2.722,2.91,3.006,3.032,3.247,4.755,5.3,4.529,2.5
2018,3,2018-03-01,2.773,2.864,3.008,3.048,3.189,4.805,5.206,4.673,2.5
2018,4,2018-04-01,2.719,2.788,2.903,2.943,3.288,4.707,5.262,4.489,2.5
2018,5,2018-05-01,2.748,2.867,2.976,3.088,3.253,4.61,5.219,4.41,2.5
2018,6,2018-06-01,2.813,2.78,2.983,3.096,3.29,4.751,5.157,4.616,2.5
2018,7,2018-07-01,2.804,2.844,2.867,3.051,3.307,4.915,5.277,4.546,2.5
2018,8,2018-08-01,2.689,2.84,3.011,3.054,3.213,4.781,5.378,4.565,2.5
2018,9,2018-09-01,2.734,2.874,3.009,3.099,3.23,4.623,5.218,4.7,2.5
2018,10,2018-10-01,2.758,2.914,2.937,3.103,3.221,4.689,5.174,4.236,2.5
2018,11,2018-11-01,2.794,2.852,2.917,3.07,3.306,4.676,5.127,4.492,2.5
2018,12,2018-12-01,2.727,2.817,2.966,2.993,3.296,4.756,5.246,4.527,2.5
2019,1,2019-01-01,1.983,2.04,2.179,2.276,2.536,3.871,4.608,3.746,1.75
2019,2,2019-02-01,1.977,2.125,2.183,2.289,2.513,3.882,4.495,3.861,1.75
2019,3,2019-03-01,1.985,2.127,2.266,2.356,2.48,3.957,4.562,3.772,1.75
2019,4,2019-04-01,2.004,2.116,2.274,2.366,2.576,4.022,4.421,3.73,1.75
