Country Name,Country Code,Year,Value
Bahrain,BHR,1970,391577364.829337
Bahrain,BHR,1971,422181562.09903
Bahrain,BHR,1972,534081183.5538125
Bahrain,BHR,1973,761132544.6077071
Bahrain,BHR,1974,1042176882.5478998
Bahrain,BHR,1975,1099107600.2596838
Bahrain,BHR,1976,1581709519.2985678
Bahrain,BHR,1977,1989060283.1105783
Bahrain,BHR,1978,2272042966.4425054
Bahrain,BHR,1979,2710160740.2835917
Bahrain,BHR,1980,3493834466.8394265
Bahrain,BHR,1981,3943109531.7956114
Bahrain,BHR,1982,4145421079.979628
Bahrain,BHR,1983,4247030467.408351
Bahrain,BHR,1984,4440874566.639973
Bahrain,BHR,1985,4152376484.476224
Bahrain,BHR,1986,3470746843.808431
Bahrain,BHR,1987,3856922695.406995
Bahrain,BHR,1988,4209834173.796064
Bahrain,BHR,1989,4393093961.837181
Bahrain,BHR,1990,4809511004.960319
Bahrain,BHR,1991,5248911170.212766
Bahrain,BHR,1992,5402232446.808511
Bahrain,BHR,1993,5913001063.829787
Bahrain,BHR,1994,6330627925.531915
Bahrain,BHR,1995,6651180851.063829
Bahrain,BHR,1996,6938166755.319149
Bahrain,BHR,1997,7219407712.765958
Bahrain,BHR,1998,7031309042.553191
Bahrain,BHR,1999,7528469148.936171
Bahrain,BHR,2000,9062898936.170212
Bahrain,BHR,2001,8976196808.51064
Bahrain,BHR,2002,9593510638.297873
Bahrain,BHR,2003,11074813829.787231
Bahrain,BHR,2004,13150159574.468084
Bahrain,BHR,2005,15968723404.25532
Bahrain,BHR,2006,18504760638.29787
Bahrain,BHR,2007,21730000000.0
Bahrain,BHR,2008,25710904255.31915
Bahrain,BHR,2009,22938218085.106384
Bahrain,BHR,2010,25713271276.595745
Bahrain,BHR,2011,28776595744.68085
Bahrain,BHR,2012,30749308510.638294
Bahrain,BHR,2013,32539468085.106384
Bahrain,BHR,2014,33387712765.957447
Bahrain,BHR,2015,31125851063.82979
Bahrain,BHR,2016,32250132978.723404
Bahrain,BHR,2017,35423643617.02128
Bahrain,BHR,2018,37802005319.14893
Bahrain,BHR,2019,38653318085.106384
Bahrain,BHR,2020,34621807712.76596
Bahrain,BHR,2021,39288670212.76596
Bahrain,BHR,2022,44383297872.34042
Bahrain,BHR,2023,43205000000.0
"Egypt, Arab Rep.",EGY,1965,4948667540.41066
"Egypt, Arab Rep.",EGY,1966,5278005611.914526
"Egypt, Arab Rep.",EGY,1967,5605484298.982751
"Egypt, Arab Rep.",EGY,1968,5932242990.654205
"Egypt, Arab Rep.",EGY,1969,6524455205.811138
"Egypt, Arab Rep.",EGY,1970,8042200452.147701
"Egypt, Arab Rep.",EGY,1971,8609283346.085182
"Egypt, Arab Rep.",EGY,1972,9299638055.842812
"Egypt, Arab Rep.",EGY,1973,10098534613.441132
"Egypt, Arab Rep.",EGY,1974,9228963224.600042
"Egypt, Arab Rep.",EGY,1975,11632178868.91714
"Egypt, Arab Rep.",EGY,1976,13315988083.416088
"Egypt, Arab Rep.",EGY,1977,14400806875.986668
"Egypt, Arab Rep.",EGY,1978,14811704063.068527
"Egypt, Arab Rep.",EGY,1979,18020571428.57143
"Egypt, Arab Rep.",EGY,1980,21669908176.38889
"Egypt, Arab Rep.",EGY,1981,22136081081.08108
"Egypt, Arab Rep.",EGY,1982,27655172413.793102
"Egypt, Arab Rep.",EGY,1983,30966239813.736904
"Egypt, Arab Rep.",EGY,1984,33971188991.614704
"Egypt, Arab Rep.",EGY,1985,39053502251.07319
"Egypt, Arab Rep.",EGY,1986,41253507951.35641
"Egypt, Arab Rep.",EGY,1987,40455616653.57424
"Egypt, Arab Rep.",EGY,1988,34980124929.01761
"Egypt, Arab Rep.",EGY,1989,39756299049.97935
"Egypt, Arab Rep.",EGY,1990,42978914311.35038
"Egypt, Arab Rep.",EGY,1991,37387836490.52842
"Egypt, Arab Rep.",EGY,1992,41855986519.42346
"Egypt, Arab Rep.",EGY,1993,46578631452.58103
"Egypt, Arab Rep.",EGY,1994,51897983392.64532
"Egypt, Arab Rep.",EGY,1995,60159245060.45414
"Egypt, Arab Rep.",EGY,1996,67629716981.13208
"Egypt, Arab Rep.",EGY,1997,78436578171.09145
"Egypt, Arab Rep.",EGY,1998,84828807556.08029
"Egypt, Arab Rep.",EGY,1999,90710704806.84164
"Egypt, Arab Rep.",EGY,2000,99838543960.07632
"Egypt, Arab Rep.",EGY,2001,96684636118.5984
"Egypt, Arab Rep.",EGY,2002,85146067415.73033
"Egypt, Arab Rep.",EGY,2003,80288461538.46153
"Egypt, Arab Rep.",EGY,2004,78782467532.46753
"Egypt, Arab Rep.",EGY,2005,89600665557.40433
"Egypt, Arab Rep.",EGY,2006,107426086956.52174
"Egypt, Arab Rep.",EGY,2007,130437828371.27846
"Egypt, Arab Rep.",EGY,2008,162818181818.18182
"Egypt, Arab Rep.",EGY,2009,189147005444.6461
"Egypt, Arab Rep.",EGY,2010,218983666061.706
"Egypt, Arab Rep.",EGY,2011,235989672977.6248
"Egypt, Arab Rep.",EGY,2012,279116666666.6667
"Egypt, Arab Rep.",EGY,2013,288434108527.1318
"Egypt, Arab Rep.",EGY,2014,305595408895.26544
"Egypt, Arab Rep.",EGY,2015,329366576819.407
"Egypt, Arab Rep.",EGY,2016,332441717791.411
"Egypt, Arab Rep.",EGY,2017,248362771739.13043
"Egypt, Arab Rep.",EGY,2018,262588632526.73044
"Egypt, Arab Rep.",EGY,2019,318678815489.74945
"Egypt, Arab Rep.",EGY,2020,383817841547.0992
"Egypt, Arab Rep.",EGY,2021,424671765455.7043
"Egypt, Arab Rep.",EGY,2022,476747720364.7416
"Egypt, Arab Rep.",EGY,2023,395926075163.0058
Jordan,JOR,1965,599759760.096096
Jordan,JOR,1966,657999736.8001053
Jordan,JOR,1967,631679747.328101
Jordan,JOR,1968,561119775.5520898
Jordan,JOR,1969,698879720.4481119
Jordan,JOR,1970,639519744.1921023
Jordan,JOR,1971,678159728.7361085
Jordan,JOR,1972,788479684.6081262
Jordan,JOR,1973,943783839.7180518
Jordan,JOR,1974,1197483948.685469
Jordan,JOR,1975,1363073497.773553
Jordan,JOR,1976,1708521219.4600327
Jordan,JOR,1977,2096778602.1678455
Jordan,JOR,1978,2602208588.957056
Jordan,JOR,1979,3271368780.6534743
Jordan,JOR,1980,3910044474.28044
Jordan,JOR,1981,4383944702.859582
Jordan,JOR,1982,4681240992.703381
Jordan,JOR,1983,4920692190.955688
Jordan,JOR,1984,4967162160.404718
Jordan,JOR,1985,4993601520.430789
Jordan,JOR,1986,6402050484.904248
Jordan,JOR,1987,6756209762.482309
Jordan,JOR,1988,6277451829.053252
Jordan,JOR,1989,4221373673.804684
Jordan,JOR,1990,4160087507.834724
Jordan,JOR,1991,4344467193.250948
Jordan,JOR,1992,5310833193.590049
Jordan,JOR,1993,5606400221.692687
Jordan,JOR,1994,6236295978.245313
Jordan,JOR,1995,6727597031.96347
Jordan,JOR,1996,6927503526.093089
Jordan,JOR,1997,7245839210.1551485
Jordan,JOR,1998,7912270803.949224
Jordan,JOR,1999,8149929478.138224
Jordan,JOR,2000,8460789844.851905
Jordan,JOR,2001,8975814652.819601
Jordan,JOR,2002,9582510578.279266
Jordan,JOR,2003,10195627644.569817
Jordan,JOR,2004,11411706629.055008
Jordan,JOR,2005,12588998589.562763
Jordan,JOR,2006,15056981664.31594
Jordan,JOR,2007,17110437235.543018
Jordan,JOR,2008,22658715989.330204
Jordan,JOR,2009,24537876056.338028
Jordan,JOR,2010,27133804225.35212
Jordan,JOR,2011,29524149154.92958
Jordan,JOR,2012,31634561690.140846
Jordan,JOR,2013,34454440140.84507
Jordan,JOR,2014,36847643521.12676
Jordan,JOR,2015,38587017887.32394
Jordan,JOR,2016,39892551126.76057
Jordan,JOR,2017,41608435915.49296
Jordan,JOR,2018,43370860704.22536
Jordan,JOR,2019,44502816901.408455
Jordan,JOR,2020,43700383098.59155
Jordan,JOR,2021,46296100140.84507
Jordan,JOR,2022,48653381830.98592
Jordan,JOR,2023,50813642348.67464
Kuwait,KWT,1962,1828107502.799552
Kuwait,KWT,1963,1900895856.6629336
Kuwait,KWT,1964,2071668533.0347145
Kuwait,KWT,1965,2097199161.120336
Kuwait,KWT,1966,2391199043.520383
Kuwait,KWT,1967,2441599023.3603907
Kuwait,KWT,1968,2662798934.880426
Kuwait,KWT,1969,2769198892.320443
Kuwait,KWT,1970,2873638850.54446
Kuwait,KWT,1971,3880392195.406882
Kuwait,KWT,1972,4450537925.33189
Kuwait,KWT,1973,5408804607.312896
Kuwait,KWT,1974,13006948296.270523
Kuwait,KWT,1975,12022811620.78667
Kuwait,KWT,1976,13132252801.93716
Kuwait,KWT,1977,14137406740.50655
Kuwait,KWT,1978,15503557496.191645
