year,total_population,uae_nationals_pct,expats_pct,dubai_population,abu_dhabi_population,sharjah_population,other_emirates_population,annual_growth_rate_pct,male_female_ratio,working_age_pct
2000,3155000,11.5,88.5,1104250,946500,441700,662550,0.0,2.15,85.0
2001,3271000,11.5,88.5,1144850,981300,457940,686910,3.68,2.25,85.0
2002,3389000,11.5,88.5,1186150,1016700,474460,711690,3.61,2.04,85.0
2003,3526000,11.5,88.5,1234100,1057800,493640,740460,4.04,2.31,85.0
2004,3676000,11.5,88.5,1286600,1102800,514640,771960,4.25,2.22,85.0
2005,3845000,11.5,88.5,1345750,1153500,538300,807450,4.6,2.29,85.0
2006,4022000,11.5,88.5,1407700,1206600,563080,844620,4.6,2.07,85.0
2007,4183000,11.5,88.5,1464050,1254900,585620,878430,4.0,2.26,85.0
2008,4372000,11.5,88.5,1530200,1311600,612080,918120,4.52,2.27,85.0
2009,4589000,11.5,88.5,1606150,1376700,642460,963690,4.96,2.18,85.0
2010,4780000,11.5,88.5,1673000,1434000,669200,1003800,4.16,2.14,85.0
2011,4990000,11.5,88.5,1746500,1497000,698600,1047900,4.39,2.2,85.0
2012,5264000,11.5,88.5,1842399,1579200,736960,1105440,5.49,2.06,85.0
2013,5473000,11.5,88.5,1915549,1641900,766220,1149330,3.97,2.26,85.0
2014,5624000,11.5,88.5,1968399,1687200,787360,1181040,2.76,2.17,85.0
2015,5770000,11.5,88.5,2019499,1731000,807800,1211700,2.6,2.11,85.0
2016,5930000,11.5,88.5,2075499,1779000,830200,1245300,2.77,2.07,85.0
2017,6084000,11.5,88.5,2129400,1825200,851760,1277640,2.6,2.21,85.0
2018,6203000,11.5,88.5,2171050,1860900,868420,1302630,1.96,2.06,85.0
2019,9770000,11.5,88.5,3419500,2931000,1367800,2051700,57.5,2.21,85.0
2020,9270000,11.5,88.5,3244500,2781000,1297800,1946700,-5.12,2.22,85.0
2021,9877000,11.5,88.5,3456950,2963100,1382780,2074170,6.55,2.18,85.0
2022,9890000,11.5,88.5,3461500,2967000,1384600,2076900,0.13,2.19,85.0
2023,9997000,11.5,88.5,3498950,2999100,1399580,2099370,1.08,2.18,85.0
2024,10200000,11.5,88.5,3570000,3060000,1428000,2142000,2.03,2.19,85.0
