year,month,theme,event_count,avg_tone,avg_mentions,positive_pct,negative_pct
2020,1,AFFORDABLE_HOUSING_UAE,48,1.51,67.31,56.25,14.58
2020,1,ARAMCO_UAE_OIL,45,1.22,64.84,57.78,13.33
2020,1,DLD_TRANSACTIONS,51,0.29,93.41,41.18,27.45
2020,1,DUBAI_INFRASTRUCTURE,42,1.36,73.4,47.62,19.05
2020,1,DUBAI_LUXURY_REAL_ESTATE,52,1.91,75.79,59.62,11.54
2020,1,DUBAI_PROPERTY_PRICES,44,0.81,86.73,50.0,25.0
2020,1,DUBAI_RENTAL_MARKET,33,1.46,88.61,48.48,9.09
2020,1,DUBAI_TOURISM,38,1.16,59.37,60.53,15.79
2020,1,EXPO2020_DUBAI,47,0.45,72.89,44.68,27.66
2020,1,GOLDEN_VISA_UAE,44,1.52,71.34,54.55,15.91
2020,1,OFFPLAN_SALES_UAE,46,0.7,72.43,47.83,19.57
2020,1,PROPTECH_UAE,40,0.92,74.03,42.5,12.5
2020,1,REITS_UAE,38,1.41,75.08,57.89,13.16
2020,1,SUSTAINABLE_BUILDINGS_UAE,42,0.06,67.05,35.71,26.19
2020,1,UAE_CRYPTO_REGULATION,41,0.58,70.41,43.9,26.83
2020,1,UAE_ECONOMY_GROWTH,43,0.21,76.79,34.88,25.58
2020,1,UAE_FINTECH,36,0.39,77.28,47.22,22.22
2020,1,UAE_MORTGAGE_MARKET,48,0.14,83.04,37.5,25.0
2020,1,UAE_PROPERTY_INVESTMENT,33,1.3,73.06,51.52,15.15
2020,1,UAE_REAL_ESTATE_MARKET,33,1.77,85.06,54.55,3.03
2020,2,AFFORDABLE_HOUSING_UAE,34,1.23,71.53,61.76,17.65
2020,2,ARAMCO_UAE_OIL,32,1.18,78.59,56.25,15.62
2020,2,DLD_TRANSACTIONS,46,1.27,72.54,58.7,15.22
2020,2,DUBAI_INFRASTRUCTURE,49,1.08,73.94,51.02,18.37
2020,2,DUBAI_LUXURY_REAL_ESTATE,35,1.56,83.86,51.43,14.29
2020,2,DUBAI_PROPERTY_PRICES,39,0.59,72.51,46.15,23.08
2020,2,DUBAI_RENTAL_MARKET,39,0.91,78.64,53.85,20.51
2020,2,DUBAI_TOURISM,40,1.27,80.28,52.5,10.0
2020,2,EXPO2020_DUBAI,40,0.42,87.12,45.0,25.0
2020,2,GOLDEN_VISA_UAE,40,1.27,80.62,50.0,17.5
2020,2,OFFPLAN_SALES_UAE,33,1.52,73.88,51.52,12.12
2020,2,PROPTECH_UAE,39,1.55,76.82,58.97,12.82
2020,2,REITS_UAE,46,1.24,73.2,50.0,15.22
2020,2,SUSTAINABLE_BUILDINGS_UAE,38,-0.28,78.16,34.21,26.32
2020,2,UAE_CRYPTO_REGULATION,39,1.35,87.18,48.72,15.38
2020,2,UAE_ECONOMY_GROWTH,42,0.77,77.88,42.86,16.67
2020,2,UAE_FINTECH,37,1.23,74.11,62.16,18.92
2020,2,UAE_MORTGAGE_MARKET,38,1.33,86.42,68.42,23.68
2020,2,UAE_PROPERTY_INVESTMENT,31,0.61,85.16,41.94,22.58
2020,2,UAE_REAL_ESTATE_MARKET,45,1.11,66.27,55.56,17.78
2020,3,AFFORDABLE_HOUSING_UAE,31,1.76,85.42,64.52,9.68
2020,3,ARAMCO_UAE_OIL,39,-0.31,69.05,35.9,25.64
2020,3,DLD_TRANSACTIONS,45,0.22,75.0,33.33,22.22
2020,3,DUBAI_INFRASTRUCTURE,42,1.34,77.74,52.38,14.29
2020,3,DUBAI_LUXURY_REAL_ESTATE,44,0.37,68.86,52.27,29.55
2020,3,DUBAI_PROPERTY_PRICES,41,1.0,69.9,51.22,14.63
2020,3,DUBAI_RENTAL_MARKET,53,0.84,73.74,49.06,16.98
2020,3,DUBAI_TOURISM,45,1.11,78.24,51.11,17.78
2020,3,EXPO2020_DUBAI,47,0.99,78.06,53.19,23.4
2020,3,GOLDEN_VISA_UAE,45,0.29,77.76,48.89,28.89
2020,3,OFFPLAN_SALES_UAE,50,1.13,75.6,58.0,22.0
2020,3,PROPTECH_UAE,31,2.16,59.97,58.06,6.45
2020,3,REITS_UAE,35,1.31,67.37,60.0,22.86
2020,3,SUSTAINABLE_BUILDINGS_UAE,30,-0.19,90.33,40.0,30.0
2020,3,UAE_CRYPTO_REGULATION,50,0.72,79.02,44.0,18.0
2020,3,UAE_ECONOMY_GROWTH,52,1.03,76.54,53.85,21.15
2020,3,UAE_FINTECH,45,0.85,68.42,48.89,17.78
2020,3,UAE_MORTGAGE_MARKET,41,1.32,86.41,56.1,21.95
2020,3,UAE_PROPERTY_INVESTMENT,40,0.46,66.12,47.5,25.0
2020,3,UAE_REAL_ESTATE_MARKET,31,2.21,80.61,74.19,6.45
2020,4,AFFORDABLE_HOUSING_UAE,44,2.0,69.61,61.36,11.36
2020,4,ARAMCO_UAE_OIL,43,0.15,67.93,39.53,23.26
2020,4,DLD_TRANSACTIONS,41,1.13,79.85,58.54,17.07
2020,4,DUBAI_INFRASTRUCTURE,49,0.28,76.65,46.94,30.61
2020,4,DUBAI_LUXURY_REAL_ESTATE,47,1.16,77.96,53.19,21.28
2020,4,DUBAI_PROPERTY_PRICES,41,0.66,75.2,51.22,26.83
2020,4,DUBAI_RENTAL_MARKET,53,0.67,81.06,45.28,16.98
2020,4,DUBAI_TOURISM,44,2.59,72.32,72.73,2.27
2020,4,EXPO2020_DUBAI,40,1.0,75.62,60.0,12.5
2020,4,GOLDEN_VISA_UAE,40,0.77,83.2,40.0,22.5
2020,4,OFFPLAN_SALES_UAE,30,0.37,75.5,36.67,23.33
2020,4,PROPTECH_UAE,44,0.37,71.57,45.45,31.82
2020,4,REITS_UAE,46,0.96,80.48,54.35,17.39
2020,4,SUSTAINABLE_BUILDINGS_UAE,43,0.89,71.05,48.84,23.26
2020,4,UAE_CRYPTO_REGULATION,43,0.69,68.95,53.49,25.58
2020,4,UAE_ECONOMY_GROWTH,44,0.62,78.36,43.18,25.0
2020,4,UAE_FINTECH,42,1.33,79.71,47.62,14.29
2020,4,UAE_MORTGAGE_MARKET,34,0.53,69.03,35.29,23.53
2020,4,UAE_PROPERTY_INVESTMENT,42,1.49,76.21,59.52,16.67
2020,4,UAE_REAL_ESTATE_MARKET,39,1.84,76.03,58.97,7.69
2020,5,AFFORDABLE_HOUSING_UAE,39,1.02,80.95,51.28,23.08
2020,5,ARAMCO_UAE_OIL,43,1.82,77.44,58.14,9.3
2020,5,DLD_TRANSACTIONS,46,1.73,71.35,56.52,13.04
2020,5,DUBAI_INFRASTRUCTURE,48,1.07,73.5,54.17,16.67
2020,5,DUBAI_LUXURY_REAL_ESTATE,42,0.35,71.43,45.24,33.33
2020,5,DUBAI_PROPERTY_PRICES,42,1.32,77.48,52.38,11.9
2020,5,DUBAI_RENTAL_MARKET,38,1.29,74.47,63.16,18.42
2020,5,DUBAI_TOURISM,47,0.79,68.85,42.55,27.66
2020,5,EXPO2020_DUBAI,45,0.41,78.6,55.56,20.0
2020,5,GOLDEN_VISA_UAE,27,1.33,68.78,44.44,7.41
2020,5,OFFPLAN_SALES_UAE,34,0.78,82.32,47.06,23.53
2020,5,PROPTECH_UAE,37,1.13,71.51,45.95,16.22
2020,5,REITS_UAE,34,0.87,78.56,55.88,20.59
2020,5,SUSTAINABLE_BUILDINGS_UAE,50,0.58,76.18,50.0,22.0
