event_id,datetime,date,year,month,theme,source_domain,source_country,headline_sentiment,tone_score,goldstein_scale,num_mentions,num_sources,avg_tone,quad_class,is_real_estate_specific
GDELT-0000001,2024-05-19 21:05:00,2024-05-19,2024,5,PROPTECH_UAE,ft.com,GLOBAL,Negative,-4.01,-7.6,124,5,-1.4,Verbal Conflict,0
GDELT-0000002,2023-08-18 10:41:00,2023-08-18,2023,8,EXPO2020_DUBAI,cnbc.com,GLOBAL,Neutral,-1.08,-3.4,49,5,0.49,Verbal Cooperation,0
GDELT-0000003,2023-03-15 01:44:00,2023-03-15,2023,3,UAE_PROPERTY_INVESTMENT,bayut.com,GLOBAL,Neutral,2.35,2.6,59,27,-4.18,Material Cooperation,1
GDELT-0000004,2020-06-02 08:01:00,2020-06-02,2020,6,DUBAI_RENTAL_MARKET,cnbc.com,GLOBAL,Neutral,1.48,-7.4,129,7,1.34,Verbal Cooperation,1
GDELT-0000005,2023-10-14 10:10:00,2023-10-14,2023,10,DLD_TRANSACTIONS,bloomberg.com,GLOBAL,Neutral,-1.67,4.1,120,29,-1.17,Material Cooperation,1
GDELT-0000006,2024-03-04 11:08:00,2024-03-04,2024,3,DUBAI_LUXURY_REAL_ESTATE,reuters.com,GLOBAL,Positive,5.67,-0.5,15,8,2.45,Material Conflict,1
GDELT-0000007,2024-01-19 20:14:00,2024-01-19,2024,1,DUBAI_INFRASTRUCTURE,dxbinteract.com,GLOBAL,Neutral,1.48,-8.1,129,12,-1.67,Verbal Cooperation,0
GDELT-0000008,2024-05-02 05:29:00,2024-05-02,2024,5,EXPO2020_DUBAI,bayut.com,GLOBAL,Neutral,-2.42,-2.2,142,26,-1.29,Verbal Cooperation,0
GDELT-0000009,2021-04-11 03:50:00,2021-04-11,2021,4,DUBAI_PROPERTY_PRICES,thenationalnews.com,GLOBAL,Positive,6.12,-3.4,73,5,7.76,Verbal Cooperation,1
GDELT-0000010,2023-04-24 10:55:00,2023-04-24,2023,4,UAE_FINTECH,cbre.ae,AE,Positive,1.72,-6.1,10,14,3.56,Material Cooperation,0
