date,year,month,real_estate_sentiment_index,buyer_confidence_index,seller_confidence_index,media_sentiment_score,search_volume_index,social_media_buzz_index
2020-01-01,2020,1,47.7,46.1,49.5,0.02,94.5,42.3
2020-02-01,2020,2,45.2,41.9,49.9,-0.95,88.7,26.0
2020-03-01,2020,3,47.5,46.1,50.5,-1.31,94.0,41.4
2020-04-01,2020,4,50.1,49.7,54.6,-0.05,100.1,50.6
2020-05-01,2020,5,55.9,59.0,55.3,0.19,114.3,72.3
2020-06-01,2020,6,49.8,46.2,49.3,-0.16,99.4,35.0
2020-07-01,2020,7,50.7,50.5,53.3,-1.61,101.8,42.7
2020-08-01,2020,8,49.1,47.8,47.1,0.01,97.8,61.3
2020-09-01,2020,9,49.8,49.0,56.1,-0.75,99.5,50.4
2020-10-01,2020,10,46.7,43.0,44.7,0.59,92.2,45.2
2020-11-01,2020,11,46.7,44.1,50.5,-1.93,92.1,26.4
2020-12-01,2020,12,47.3,50.6,51.2,-1.37,93.6,43.6
2021-01-01,2021,1,51.7,51.7,53.7,1.06,104.1,49.2
2021-02-01,2021,2,54.1,50.9,53.8,-0.74,110.0,51.2
2021-03-01,2021,3,53.4,50.0,50.8,-0.04,108.2,54.2
2021-04-01,2021,4,56.4,54.7,56.9,0.48,115.5,48.9
2021-05-01,2021,5,60.2,64.3,60.1,1.18,124.9,50.6
2021-06-01,2021,6,60.1,53.7,63.7,1.17,124.6,58.5
2021-07-01,2021,7,59.8,57.5,59.8,0.53,124.0,59.5
2021-08-01,2021,8,58.4,58.8,65.0,1.35,120.6,47.5
2021-09-01,2021,9,60.2,53.2,58.5,0.71,124.8,56.9
2021-10-01,2021,10,62.8,65.7,68.0,-0.36,131.4,48.1
2021-11-01,2021,11,60.9,64.2,62.4,0.54,126.7,52.8
2021-12-01,2021,12,64.4,60.9,66.4,-0.71,135.4,52.4
2022-01-01,2022,1,64.0,66.1,67.1,0.78,134.5,58.5
2022-02-01,2022,2,68.3,61.9,70.0,-1.44,145.4,59.3
2022-03-01,2022,3,69.3,75.1,68.8,0.65,147.9,70.5
2022-04-01,2022,4,71.4,69.9,77.2,-0.92,153.4,73.0
2022-05-01,2022,5,67.7,65.7,71.0,0.52,143.8,43.6
2022-06-01,2022,6,68.4,64.5,66.6,0.67,145.7,57.8
2022-07-01,2022,7,71.8,70.5,77.4,0.31,154.4,54.4
2022-08-01,2022,8,72.3,68.5,82.4,0.13,155.7,56.5
2022-09-01,2022,9,69.8,68.9,66.4,0.34,149.3,72.3
2022-10-01,2022,10,71.1,69.1,71.2,-0.5,152.6,77.7
2022-11-01,2022,11,66.1,67.3,64.0,1.64,139.8,61.9
2022-12-01,2022,12,69.1,67.5,73.6,1.31,147.5,57.4
2023-01-01,2023,1,69.8,68.9,72.8,0.66,149.3,62.2
2023-02-01,2023,2,70.4,72.2,75.0,0.48,150.7,62.5
2023-03-01,2023,3,66.7,66.8,69.1,0.81,141.4,62.4
2023-04-01,2023,4,66.7,61.7,68.7,0.91,141.3,72.3
2023-05-01,2023,5,68.4,75.1,69.5,1.37,145.6,53.9
2023-06-01,2023,6,64.5,69.3,66.4,-0.55,135.7,55.1
2023-07-01,2023,7,65.9,65.0,71.7,-0.37,139.3,59.0
2023-08-01,2023,8,67.7,70.8,73.5,1.2,143.9,67.9
2023-09-01,2023,9,70.0,71.6,67.6,-0.46,149.7,61.0
2023-10-01,2023,10,75.7,77.5,77.4,-0.22,164.6,69.5
2023-11-01,2023,11,77.3,77.1,79.5,0.92,168.8,63.9
2023-12-01,2023,12,81.0,80.3,85.1,-0.09,178.3,87.7
2024-01-01,2024,1,79.1,77.2,85.4,-0.39,173.3,87.1
2024-02-01,2024,2,82.7,80.0,82.0,1.2,182.9,72.4
2024-03-01,2024,3,82.6,79.4,82.4,-0.36,182.6,72.3
2024-04-01,2024,4,81.4,81.1,78.5,-0.11,179.4,69.2
2024-05-01,2024,5,86.5,85.6,90.2,0.84,193.0,80.4
2024-06-01,2024,6,85.3,92.3,86.9,-0.87,189.9,66.0
2024-07-01,2024,7,88.1,90.7,90.1,1.39,197.4,80.4
2024-08-01,2024,8,85.5,85.4,88.5,0.1,190.4,85.6
2024-09-01,2024,9,84.9,80.3,84.7,-0.35,188.8,75.2
2024-10-01,2024,10,87.1,83.4,83.5,0.07,194.8,88.0
2024-11-01,2024,11,86.2,87.0,88.3,-0.44,192.2,75.0
2024-12-01,2024,12,87.1,83.3,87.1,0.17,194.6,73.9
