building_id,building_name,area,building_type,floors,units_count,built_year,parking_spaces,has_gym,has_pool,has_concierge,service_charge_per_sqft,grade
BLDG-000001,Dubai Tower 7,Dubai Investment Park,Mixed,82,152,2024,535,False,True,False,26.54,A
BLDG-000002,Dubai Tower 25,Dubai Creek Harbour,Mixed,11,457,2011,545,False,False,False,22.97,B
BLDG-000003,Emaar Tower 33,Emaar Beachfront,Hotel,80,321,1997,242,False,False,True,10.16,A
BLDG-000004,Dubai Tower 1,Dubai South,Residential,23,32,2001,277,True,False,True,8.75,A
BLDG-000005,Muhaisnah Tower 33,Muhaisnah,Residential,16,112,1994,427,True,False,False,13.01,A
BLDG-000006,Al Tower 23,Al Barsha,Mixed,36,104,2012,135,True,True,False,31.13,B
BLDG-000007,Muhaisnah Tower 18,Muhaisnah,Mixed,66,124,2006,278,False,False,False,18.45,B
BLDG-000008,Discovery Tower 33,Discovery Gardens,Mixed,81,337,2010,382,True,False,False,8.45,A
BLDG-000009,Building 9,Al Quoz,Residential,2,477,2011,266,False,True,True,13.86,A
BLDG-000010,Building 10,JLT,Mixed,69,38,1990,423,True,True,False,12.48,A
BLDG-000011,Building 11,Al Furjan,Mixed,63,187,1998,169,True,True,False,26.03,B
BLDG-000012,Nad Tower 22,Nad Al Sheba,Mixed,32,453,2019,349,True,True,True,23.24,A
BLDG-000013,Palm Tower 35,Palm Jumeirah,Mixed,43,220,2021,536,False,False,False,19.18,B
BLDG-000014,Business Tower 46,Business Bay,Residential,60,444,2000,306,True,False,False,31.28,B
BLDG-000015,Building 15,Al Qusais,Residential,56,467,1998,79,False,True,True,23.02,A
BLDG-000016,Emaar Tower 5,Emaar Beachfront,Residential,81,305,2018,59,False,False,True,20.08,C
BLDG-000017,Building 17,Dubailand,Commercial,61,105,2019,566,True,True,False,15.9,B
BLDG-000018,Building 18,Palm Jumeirah,Residential,80,232,1996,551,False,False,True,21.29,C
BLDG-000019,Building 19,Dubailand,Residential,84,483,2022,165,True,False,True,22.78,B
BLDG-000020,Ras Tower 1,Ras Al Khor,Residential,81,444,2023,293,False,False,False,24.1,B
BLDG-000021,Al Tower 5,Al Quoz,Mixed,20,138,2008,470,False,False,False,9.19,B
BLDG-000022,Dubai Tower 37,Dubai Creek Harbour,Mixed,97,280,2024,175,False,True,False,29.51,B
BLDG-000023,Building 23,Bur Dubai,Mixed,36,268,2000,29,True,False,True,14.66,B
