plot_id,plot_number,area_name,plot_area_sqft,zoning,ownership_type,registration_date,last_transfer_date,market_value_aed,is_mortgaged,developer_id
PLOT-000001,162-A,Dubai Creek Harbour,229421,Mixed,Leasehold,2009-09-11,2017-09-06,262854393,True,DEV-0164
PLOT-000002,5672-A,Motor City,11971,Mixed,Freehold,2008-09-07,2016-10-15,58544788,True,DEV-0079
PLOT-000003,5352-A,Jebel Ali,413762,Mixed,Freehold,2002-10-29,2022-07-08,443501237,False,DEV-0152
PLOT-000004,5274-C,DIFC,453325,Commercial,Leasehold,2013-09-09,2024-04-02,79514899,True,DEV-0118
PLOT-000005,7917-E,JLT,351796,Mixed,Leasehold,2007-04-28,2022-10-30,235137320,True,DEV-0076
PLOT-000006,9629-A,Dubai Marina,189082,Residential,Leasehold,2021-03-06,2021-12-03,464210053,False,DEV-0066
PLOT-000007,4631-E,Sports City,305793,Residential,Freehold,2019-01-19,2018-05-03,231013860,False,DEV-0046
PLOT-000008,3595-D,Sports City,117437,Residential,Government,2003-06-29,2024-10-28,258873270,False,DEV-0029
PLOT-000009,905-E,Muhaisnah,55815,Industrial,Leasehold,2015-10-10,2017-06-28,191346260,True,DEV-0050
PLOT-000010,2136-C,Umm Suqeim,422021,Residential,Freehold,2019-09-28,2015-01-30,346842738,True,DEV-0057
PLOT-000011,8704-E,Nad Al Sheba,105391,Industrial,Government,2000-01-12,2019-11-19,19260820,False,DEV-0156
PLOT-000012,3969-A,Dubai Creek Harbour,85218,Industrial,Freehold,2005-02-08,2018-08-29,357119503,False,DEV-0138
PLOT-000013,3737-E,Dubai Land,194390,Residential,Leasehold,2019-09-12,2023-04-21,16650924,True,DEV-0051
PLOT-000014,6660-D,Dubai South,205847,Industrial,Leasehold,2012-10-02,2020-04-16,369804032,False,DEV-0099
PLOT-000015,2380-B,Dubai Land,286512,Residential,Freehold,2019-03-31,2017-08-31,432288665,True,DEV-0166
PLOT-000016,8139-C,Ras Al Khor,426081,Commercial,Freehold,2003-04-20,2018-08-19,153242223,False,DEV-0004
PLOT-000017,4317-E,Muhaisnah,154835,Commercial,Government,2013-06-04,2019-07-14,316282027,True,DEV-0062
PLOT-000018,1226-A,Al Twar,467784,Residential,Leasehold,2010-12-04,2023-12-10,129718240,False,DEV-0168
PLOT-000019,8476-C,Dubai South,246134,Commercial,Freehold,2010-07-01,2015-06-23,138751343,False,DEV-0171
PLOT-000020,9900-D,Al Karama,499316,Mixed,Leasehold,2017-10-22,2015-02-02,210640360,False,DEV-0133
PLOT-000021,1710-A,Dubailand,360875,Industrial,Freehold,2010-02-26,2024-10-16,112701201,False,DEV-0084
PLOT-000022,1598-E,Al Twar,362040,Commercial,Government,2019-08-11,2015-08-04,216741565,False,DEV-0022
PLOT-000023,267-B,Umm Suqeim,159539,Mixed,Leasehold,2023-06-05,2020-05-11,223265797,False,DEV-0012
PLOT-000024,3480-B,Jumeirah,177040,Commercial,Leasehold,2016-01-21,2019-06-11,22611508,True,DEV-0140
PLOT-000025,3673-E,Al Quoz,258080,Commercial,Leasehold,2023-07-31,2021-12-15,58615865,True,DEV-0169
PLOT-000026,1987-C,Deira,143208,Residential,Government,2020-09-22,2024-10-20,111838187,False,DEV-0080
PLOT-000027,8450-E,Dubai Marina,395478,Residential,Freehold,2016-01-11,2020-06-02,188211609,True,DEV-0097
PLOT-000028,8852-E,Al Wasl,332607,Industrial,Leasehold,2016-11-13,2022-07-28,95087699,True,DEV-0145
PLOT-000029,5987-C,Al Satwa,379354,Industrial,Freehold,2020-07-15,2015-08-01,447526732,False,DEV-0022
PLOT-000030,379-D,Al Safa,268402,Industrial,Government,2019-03-20,2017-11-10,147750602,True,DEV-0122
PLOT-000031,4653-E,Al Satwa,455455,Industrial,Leasehold,2010-11-10,2021-07-21,400986085,False,DEV-0181
PLOT-000032,6962-B,Umm Suqeim,97904,Industrial,Government,2015-12-18,2024-06-04,489622788,True,DEV-0047
PLOT-000033,8736-C,Al Safa,120834,Mixed,Freehold,2005-01-17,2021-11-20,84842634,False,DEV-0175
PLOT-000034,3492-C,Dubai Land,154790,Commercial,Freehold,2010-02-14,2021-03-09,356053313,True,DEV-0090
PLOT-000035,9283-C,Al Qusais,106091,Green,Leasehold,2015-10-19,2021-12-04,124731854,False,DEV-0154
PLOT-000036,67-B,DIFC,183355,Mixed,Freehold,2013-02-16,2016-01-07,130705041,True,DEV-0153
PLOT-000037,5777-D,Al Mizhar,473748,Commercial,Leasehold,2006-02-13,2021-07-22,231371017,False,DEV-0101
PLOT-000038,2266-E,Al Satwa,322603,Residential,Government,2018-02-26,2019-11-05,364387462,False,DEV-0167
PLOT-000039,9657-B,Town Square,279324,Industrial,Freehold,2008-03-28,2020-07-12,356382336,True,DEV-0040
PLOT-000040,2663-C,JLT,25216,Residential,Leasehold,2007-06-22,2021-01-01,230124090,False,DEV-0008
PLOT-000041,845-B,DIFC,17499,Residential,Government,2014-05-07,2023-09-04,271000411,True,DEV-0010
PLOT-000042,5167-B,Dubai South,478828,Residential,Freehold,2017-04-01,2020-01-02,316063429,False,DEV-0168
PLOT-000043,8063-D,Al Qusais,107597,Residential,Leasehold,2009-10-14,2019-08-26,255615606,False,DEV-0022
PLOT-000044,1775-B,Muhaisnah,269679,Mixed,Leasehold,2020-03-25,2023-05-06,279479286,True,DEV-0101
PLOT-000045,8587-E,Dubai Hills Estate,71991,Mixed,Leasehold,2018-07-26,2015-05-16,185392538,False,DEV-0068
PLOT-000046,9143-C,Al Qusais,137637,Residential,Leasehold,2020-01-05,2022-10-25,326761052,True,DEV-0044
PLOT-000047,7419-C,Jumeirah,10907,Commercial,Leasehold,2004-04-05,2022-07-06,244531892,False,DEV-0127
PLOT-000048,8352-D,Jebel Ali,497680,Commercial,Leasehold,2017-04-02,2022-02-09,448544482,True,DEV-0048
PLOT-000049,8512-B,DIFC,42870,Residential,Freehold,2002-02-19,2021-05-29,129864297,True,DEV-0097
PLOT-000050,2161-A,Downtown Dubai,85203,Commercial,Freehold,2012-03-16,2016-07-07,342549742,True,DEV-0060
PLOT-000051,4053-D,Umm Suqeim,38262,Commercial,Freehold,2008-04-29,2018-06-17,372008503,False,DEV-0026
PLOT-000052,4861-D,DIFC,485374,Industrial,Freehold,2005-06-12,2016-02-27,20879746,False,DEV-0056
PLOT-000053,7783-B,JVC,164875,Mixed,Leasehold,2008-10-28,2022-12-10,99059966,True,DEV-0189
PLOT-000054,7283-C,Muhaisnah,236803,Mixed,Government,2000-01-24,2024-05-26,59617842,True,DEV-0196
PLOT-000055,3758-E,Umm Suqeim,92924,Commercial,Freehold,2008-01-08,2024-02-05,267454873,False,DEV-0040
PLOT-000056,2639-A,Jebel Ali,10614,Residential,Leasehold,2002-10-10,2024-02-14,426073599,False,DEV-0137
PLOT-000057,5646-E,Discovery Gardens,183558,Commercial,Freehold,2021-03-27,2023-05-23,216316708,False,DEV-0052
PLOT-000058,7270-A,Al Barsha,312233,Residential,Leasehold,2008-12-29,2022-07-10,266748395,True,DEV-0026
PLOT-000059,9398-B,Dubai South,139945,Residential,Leasehold,2021-06-01,2018-12-13,111184159,False,DEV-0087
PLOT-000060,6999-E,Emaar Beachfront,405829,Commercial,Freehold,2009-01-04,2017-02-03,290628865,False,DEV-0079
PLOT-000061,4896-C,Dubai Investment Park,218947,Mixed,Leasehold,2015-02-28,2022-10-21,13277835,True,DEV-0190
PLOT-000062,4876-E,Downtown Dubai,287614,Residential,Freehold,2023-12-11,2016-10-22,74845377,False,DEV-0076
PLOT-000063,8953-E,Jebel Ali,372395,Commercial,Freehold,2007-08-14,2024-11-28,254744614,True,DEV-0040
PLOT-000064,2549-B,Bur Dubai,257453,Mixed,Freehold,2007-02-27,2017-07-24,435140767,False,DEV-0085
PLOT-000065,9163-B,JVC,302287,Mixed,Government,2001-08-23,2020-05-10,400820946,True,DEV-0079
PLOT-000066,8885-E,International City,24165,Residential,Government,2018-03-02,2016-02-12,493177258,False,DEV-0058
PLOT-000067,7327-D,Al Qusais,336216,Residential,Freehold,2011-06-08,2022-06-18,253674175,True,DEV-0037
PLOT-000068,1937-E,Jebel Ali,42535,Commercial,Government,2008-01-05,2020-11-19,59328626,True,DEV-0077
PLOT-000069,8588-C,Emaar Beachfront,363767,Residential,Government,2022-03-16,2022-07-28,323734378,False,DEV-0060
PLOT-000070,4431-B,Ras Al Khor,292498,Commercial,Freehold,2014-03-23,2024-10-11,159341244,False,DEV-0176
PLOT-000071,5253-B,Dubai Marina,93921,Commercial,Freehold,2006-07-09,2015-04-17,385940472,False,DEV-0084
PLOT-000072,9510-C,Arabian Ranches,119228,Residential,Leasehold,2012-11-11,2022-03-28,469950380,True,DEV-0084
PLOT-000073,2235-E,Downtown Dubai,387745,Industrial,Freehold,2000-06-16,2020-09-24,395286774,False,DEV-0039
