project_id,project_name,developer,area,project_type,total_units,sold_units,sold_percentage,launch_year,completion_year,status,avg_price_per_sqft_aed,min_price_aed,max_price_aed,floors,has_amenities,is_freehold
PRJ-00001,Motor Residences 17,Sobha Realty,Motor City,Residential,367,347,94.8,2019,,Under Construction,2762,1434533,14152045,10,False,True
PRJ-00002,Tiger Al Tower 1,Tiger Properties,Al Karama,Residential,1275,929,72.9,2013,,Under Construction,2184,729933,19433220,43,False,True
PRJ-00003,Downtown Residences 18,Tiger Properties,Downtown Dubai,Residential,1497,763,51.0,2015,,Under Construction,4458,811219,9162632,79,False,True
PRJ-00004,Aldar Dubai Tower 7,Aldar,Dubai Creek Harbour,Commercial,1645,959,58.3,2018,,Under Construction,2108,1086073,12384901,60,False,True
PRJ-00005,Meraas Sports Tower 5,Meraas,Sports City,Mixed Use,187,159,85.0,2023,2025.0,Completed,2326,903897,12158123,59,True,False
PRJ-00006,Deyaar Umm Tower 5,Deyaar Development,Umm Suqeim,Residential,1491,1264,84.8,2020,,Under Construction,2117,381586,19510832,51,False,True
PRJ-00007,Nakheel Discovery Tower 8,Nakheel,Discovery Gardens,Residential,1928,1474,76.5,2017,2019.0,Completed,1704,1361744,19299245,52,True,True
PRJ-00008,DIFC Residences 18,Arada,DIFC,Residential,1677,606,36.2,2022,,Off-Plan,1880,1105598,17430293,69,True,True
PRJ-00009,Al Residences 3,Danube Properties,Al Safa,Mixed Use,1612,1521,94.4,2009,,Off-Plan,843,1039215,14103631,35,False,True
PRJ-00010,Emaar Residences 17,Tiger Properties,Emaar Beachfront,Residential,918,562,61.3,2010,2015.0,Completed,1749,474946,17479443,16,True,False
PRJ-00011,Omniyat JVC Tower 9,Omniyat,JVC,Commercial,1329,802,60.4,2018,,Off-Plan,3765,1244192,8354957,34,True,True
PRJ-00012,Dubai Residences 2,DAMAC Properties,Dubai Creek Harbour,Mixed Use,1870,893,47.8,2022,,Off-Plan,1176,1112301,11270244,22,True,False
PRJ-00013,Town Residences 2,DAMAC Properties,Town Square,Residential,222,146,65.8,2021,2026.0,Completed,4039,969756,23465640,46,True,True
PRJ-00014,Al Residences 4,Dubai Properties,Al Safa,Mixed Use,1172,1013,86.4,2011,2014.0,Completed,4387,508911,21266166,70,True,False
PRJ-00015,Aldar Dubai Tower 3,Aldar,Dubai Hills Estate,Residential,1410,1246,88.4,2020,2025.0,Completed,2817,316010,13029876,17,True,True
PRJ-00016,Emaar Dubai Tower 8,Emaar Properties,Dubai Creek Harbour,Mixed Use,1813,1152,63.6,2024,2028.0,Completed,2540,1252497,22753461,38,True,True
PRJ-00017,Dubai Residences 19,Sobha Realty,Dubai Hills Estate,Mixed Use,94,78,83.0,2023,,Off-Plan,4002,1026202,6106230,55,True,True
PRJ-00018,Emaar Dubai Tower 4,Emaar Properties,Dubai Creek Harbour,Commercial,356,347,97.7,2023,2028.0,Completed,4336,1088316,11081078,21,False,True
PRJ-00019,Town Residences 9,Ellington Properties,Town Square,Mixed Use,602,560,93.1,2010,2013.0,Completed,2784,1325160,23559830,43,True,True
PRJ-00020,Town Residences 15,Seven Tides,Town Square,Residential,1102,904,82.0,2009,2014.0,Completed,1422,810628,10261557,72,True,True
PRJ-00021,JVC Residences 13,MAG Property Development,JVC,Mixed Use,1573,1569,99.7,2023,2026.0,Completed,4298,1365641,7753406,30,True,True
PRJ-00022,Tiger Discovery Tower 1,Tiger Properties,Discovery Gardens,Residential,923,682,74.0,2017,,Off-Plan,2223,1049853,12563459,43,True,True
PRJ-00023,Town Residences 17,Arada,Town Square,Mixed Use,1591,546,34.4,2005,,Off-Plan,1278,770126,24624104,55,True,True
PRJ-00024,Dubai Residences 16,Binghatti,Dubai Hills Estate,Mixed Use,515,164,32.0,2008,,Off-Plan,2339,510336,17288829,62,True,False
PRJ-00025,Nakheel Al Tower 1,Nakheel,Al Safa,Residential,1989,1340,67.4,2007,2009.0,Completed,2135,621291,14087860,22,True,False
PRJ-00026,Select Al Tower 3,Select Group,Al Karama,Residential,850,545,64.2,2024,2027.0,Completed,3669,1445103,13818152,35,True,True
PRJ-00027,Umm Residences 16,Omniyat,Umm Suqeim,Mixed Use,1983,645,32.5,2022,,Under Construction,2547,683614,18782619,33,True,True
PRJ-00028,International Residences 15,Tiger Properties,International City,Residential,158,148,93.9,2009,,Under Construction,3141,550783,22305871,21,True,True
PRJ-00029,Dubai Residences 13,Arada,Dubai Hills Estate,Hospitality,660,619,93.8,2022,,Under Construction,1428,1485310,15370904,69,True,True
PRJ-00030,Al Residences 11,Dubai Properties,Al Satwa,Mixed Use,904,536,59.4,2018,,Off-Plan,3558,1281559,7173170,43,True,True
PRJ-00031,Al Residences 10,Ellington Properties,Al Safa,Mixed Use,368,301,82.0,2024,,Off-Plan,1781,1183038,22509470,61,True,True
PRJ-00032,Deira Residences 14,Meraas,Deira,Mixed Use,1005,791,78.8,2011,2013.0,Completed,3006,1272697,19451791,70,True,True
PRJ-00033,Bur Residences 11,Danube Properties,Bur Dubai,Residential,139,84,61.0,2024,2027.0,Completed,1063,1229774,4645733,74,False,False
PRJ-00034,Deira Residences 17,Omniyat,Deira,Residential,982,906,92.3,2017,,Under Construction,1104,902116,3141954,59,True,False
PRJ-00035,Deira Residences 7,Meraas,Deira,Residential,810,473,58.5,2017,,Off-Plan,4149,311569,19349583,75,True,True
PRJ-00036,Business Residences 19,Omniyat,Business Bay,Mixed Use,544,382,70.3,2014,2018.0,Completed,2474,1485491,19769593,40,True,True
PRJ-00037,Al Residences 8,Select Group,Al Safa,Residential,1453,1353,93.1,2011,,Stalled,4403,487886,5287384,52,True,True
PRJ-00038,MAG Al Tower 9,MAG Property Development,Al Safa,Commercial,1252,1030,82.3,2019,2022.0,Completed,4226,1440501,19641141,14,True,True
PRJ-00039,Emaar JLT Tower 7,Emaar Properties,JLT,Mixed Use,560,130,23.4,2013,,Off-Plan,4045,1498750,17269337,5,True,True
PRJ-00040,JLT Residences 1,Omniyat,JLT,Residential,892,816,91.6,2007,,Under Construction,3615,1258891,7361728,7,False,True
PRJ-00041,Deyaar Al Tower 3,Deyaar Development,Al Satwa,Residential,1943,1720,88.5,2008,2011.0,Completed,4168,557584,17588454,73,True,True
PRJ-00042,Sobha Al Tower 5,Sobha Realty,Al Barsha,Hospitality,1993,1315,66.0,2010,,Under Construction,4366,1204533,9229125,26,True,False
PRJ-00043,Binghatti International Tower 1,Binghatti,International City,Residential,1028,950,92.4,2009,2013.0,Completed,1546,811494,16791946,47,False,True
PRJ-00044,Danube Town Tower 2,Danube Properties,Town Square,Residential,951,793,83.4,2021,,Under Construction,3988,724854,12481789,64,False,True
PRJ-00045,Nakheel Dubai Tower 1,Nakheel,Dubai Creek Harbour,Residential,1947,1105,56.8,2018,,Off-Plan,1962,933551,17400699,16,True,True
PRJ-00046,Town Residences 9,Binghatti,Town Square,Residential,382,344,90.3,2020,2022.0,Completed,1771,1095988,3034777,74,True,True
PRJ-00047,Binghatti Nad Tower 5,Binghatti,Nad Al Sheba,Residential,543,177,32.8,2019,,Under Construction,3699,475249,17671766,20,True,True
PRJ-00048,JVC Residences 17,Azizi Developments,JVC,Mixed Use,1237,914,73.9,2010,2015.0,Completed,2117,314233,10873935,79,False,True
PRJ-00049,Arada International Tower 7,Arada,International City,Residential,578,518,89.7,2011,2013.0,Completed,4445,725928,10367932,8,False,True
PRJ-00050,Omniyat Dubai Tower 3,Omniyat,Dubai Marina,Commercial,1791,985,55.0,2022,,Under Construction,2340,622166,14908404,35,True,True
PRJ-00051,Mirdif Residences 1,Sobha Realty,Mirdif,Residential,1412,1236,87.6,2013,2017.0,Completed,3696,432651,5953863,46,True,True
PRJ-00052,Jumeirah Residences 13,Emaar Properties,Jumeirah,Residential,726,632,87.1,2017,2020.0,Completed,2046,517603,10997269,71,True,True
PRJ-00053,Meraas Sports Tower 9,Meraas,Sports City,Residential,1420,1105,77.8,2015,2018.0,Completed,2888,792999,11932666,26,True,False
PRJ-00054,Nad Residences 16,MAG Property Development,Nad Al Sheba,Residential,86,17,20.8,2013,,Stalled,3236,716003,8986968,32,True,True
PRJ-00055,Al Residences 11,Meraas,Al Quoz,Residential,1586,1186,74.8,2013,2015.0,Completed,2204,1290693,13002655,61,False,True
PRJ-00056,Al Residences 20,Arada,Al Karama,Residential,369,195,53.0,2016,,Under Construction,1951,1281255,12768948,36,True,False
PRJ-00057,Meraas Motor Tower 5,Meraas,Motor City,Residential,653,602,92.3,2017,,Off-Plan,1381,1074364,11443546,24,True,True
PRJ-00058,Nad Residences 3,Seven Tides,Nad Al Sheba,Commercial,1963,1795,91.5,2009,2012.0,Completed,1830,770924,11087301,5,False,True
PRJ-00059,Danube Mirdif Tower 6,Danube Properties,Mirdif,Mixed Use,1567,1015,64.8,2012,2016.0,Completed,1301,1252492,7176647,44,False,False
PRJ-00060,Ellington Dubai Tower 8,Ellington Properties,Dubai Marina,Commercial,1243,765,61.6,2014,2016.0,Completed,3530,1217343,23407143,57,False,True
PRJ-00061,Jumeirah Residences 1,Omniyat,Jumeirah,Residential,252,229,91.2,2021,,Under Construction,2562,902714,16932182,11,True,True
PRJ-00062,Emaar Mirdif Tower 2,Emaar Properties,Mirdif,Mixed Use,674,197,29.3,2022,,Under Construction,2666,899060,13979386,41,True,True
PRJ-00063,Town Residences 11,Tiger Properties,Town Square,Mixed Use,1741,1200,69.0,2024,2026.0,Completed,1238,1027646,8511938,61,True,True
PRJ-00064,Binghatti Umm Tower 5,Binghatti,Umm Suqeim,Residential,570,346,60.8,2020,,Under Construction,2472,1104329,12130287,8,True,True
PRJ-00065,Motor Residences 19,Tiger Properties,Motor City,Residential,588,493,83.9,2005,,Under Construction,3232,399714,4584119,66,False,True
