contract_id,contract_date,year,month,area,bedrooms,property_type,annual_rent_aed,monthly_rent_aed,contract_duration_months,payment_frequency,is_renewal,tenant_nationality
RERA-2019-0000001,2019-07-28,2019,7,Dubai Marina,1,Apartment,73926,6160,12,Quarterly,False,Pakistan
RERA-2019-0000002,2019-01-27,2019,1,Deira,1,Apartment,44787,3732,12,Annual,True,India
RERA-2019-0000003,2019-02-14,2019,2,Dubai Marina,3,Apartment,206791,17233,24,Annual,True,Other
RERA-2019-0000004,2019-02-17,2019,2,Downtown Dubai,3,Apartment,196618,16385,12,Annual,False,India
RERA-2019-0000005,2019-05-16,2019,5,DIFC,2,Apartment,158196,13183,12,Annual,True,Philippines
RERA-2019-0000006,2019-11-08,2019,11,Al Barsha,1,Apartment,71890,5991,12,Bi-annual,False,UAE
RERA-2019-0000007,2019-09-20,2019,9,Town Square,3,Apartment,67335,5611,12,Bi-annual,False,Egypt
RERA-2019-0000008,2019-12-09,2019,12,Dubai Hills Estate,2,Apartment,132794,11066,12,Bi-annual,False,UK
RERA-2019-0000009,2019-09-07,2019,9,International City,3,Apartment,66810,5568,12,Annual,True,Pakistan
RERA-2019-0000010,2019-07-18,2019,7,Downtown Dubai,2,Apartment,138878,11573,12,Annual,True,UAE
RERA-2019-0000011,2019-06-30,2019,6,Mirdif,1,Apartment,45926,3827,6,Bi-annual,False,Other
RERA-2019-0000012,2019-09-11,2019,9,Dubai Marina,2,Apartment,128522,10710,6,Bi-annual,True,Philippines
RERA-2019-0000013,2019-10-02,2019,10,Business Bay,1,Apartment,88422,7368,12,Quarterly,True,UAE
RERA-2019-0000014,2019-06-30,2019,6,JVC,0,Apartment,31023,2585,12,Monthly,False,UAE
RERA-2019-0000015,2019-07-01,2019,7,Bur Dubai,0,Apartment,29821,2485,12,Annual,False,Other
RERA-2019-0000016,2019-12-22,2019,12,DIFC,0,Apartment,72986,6082,12,Annual,True,Other
RERA-2019-0000017,2019-06-21,2019,6,Dubai Marina,3,Apartment,252942,21078,12,Annual,False,India
RERA-2019-0000018,2019-12-14,2019,12,DIFC,0,Apartment,97205,8100,12,Bi-annual,False,Other
RERA-2019-0000019,2019-09-23,2019,9,Mirdif,0,Apartment,39217,3268,12,Annual,False,Other
RERA-2019-0000020,2019-07-19,2019,7,Palm Jumeirah,3,Apartment,334829,27902,12,Bi-annual,True,UAE
RERA-2019-0000021,2019-07-17,2019,7,Business Bay,3,Apartment,190484,15874,12,Quarterly,False,UAE
RERA-2019-0000022,2019-12-31,2019,12,Al Barsha,3,Apartment,159149,13262,12,Annual,False,UAE
RERA-2019-0000023,2019-09-22,2019,9,Deira,1,Apartment,35507,2959,12,Annual,False,Philippines
RERA-2019-0000024,2019-10-19,2019,10,JLT,1,Apartment,66183,5515,12,Annual,False,India
RERA-2019-0000025,2019-01-23,2019,1,JLT,1,Apartment,49272,4106,6,Annual,True,India
RERA-2019-0000026,2019-04-10,2019,4,Town Square,3,Apartment,87729,7311,12,Annual,False,UAE
RERA-2019-0000027,2019-10-01,2019,10,Deira,2,Apartment,64313,5359,12,Monthly,False,Pakistan
RERA-2019-0000028,2019-10-23,2019,10,Dubai Marina,1,Apartment,70427,5869,24,Annual,False,Other
RERA-2019-0000029,2019-11-22,2019,11,Town Square,1,Apartment,44243,3687,12,Quarterly,False,Other
RERA-2019-0000030,2019-03-04,2019,3,JLT,2,Apartment,76210,6351,12,Annual,False,Other
RERA-2019-0000031,2019-07-03,2019,7,Dubai Hills Estate,2,Apartment,135705,11309,12,Bi-annual,False,India
RERA-2019-0000032,2019-02-01,2019,2,Business Bay,2,Apartment,76379,6365,24,Annual,True,Other
RERA-2019-0000033,2019-07-08,2019,7,Dubai Hills Estate,2,Apartment,110238,9186,12,Annual,False,Philippines
RERA-2019-0000034,2019-07-14,2019,7,Bur Dubai,1,Apartment,41220,3435,12,Annual,True,Egypt
RERA-2019-0000035,2019-11-28,2019,11,International City,1,Apartment,31116,2593,12,Quarterly,False,India
RERA-2019-0000036,2019-10-22,2019,10,International City,2,Apartment,41124,3427,6,Annual,False,India
RERA-2019-0000037,2019-09-12,2019,9,Dubai Marina,2,Apartment,130044,10837,12,Bi-annual,True,Other
RERA-2019-0000038,2019-07-09,2019,7,Business Bay,1,Apartment,81194,6766,24,Annual,False,Pakistan
RERA-2019-0000039,2019-11-04,2019,11,Town Square,3,Apartment,84973,7081,24,Annual,False,Other
RERA-2019-0000040,2019-04-27,2019,4,JLT,2,Apartment,87892,7324,12,Annual,True,India
RERA-2019-0000041,2019-01-23,2019,1,DIFC,1,Apartment,99369,8281,12,Bi-annual,True,UAE
RERA-2019-0000042,2019-09-29,2019,9,Deira,1,Apartment,31707,2642,24,Annual,False,Pakistan
RERA-2019-0000043,2019-02-22,2019,2,Palm Jumeirah,2,Apartment,190618,15885,12,Bi-annual,True,India
RERA-2019-0000044,2019-07-20,2019,7,Town Square,0,Apartment,33668,2806,12,Quarterly,True,Egypt
RERA-2019-0000045,2019-09-22,2019,9,Discovery Gardens,2,Apartment,49950,4162,12,Bi-annual,True,India
RERA-2019-0000046,2019-05-06,2019,5,JVC,4,Villa,139801,11650,6,Annual,False,UAE
RERA-2019-0000047,2019-01-16,2019,1,Mirdif,1,Apartment,64354,5363,12,Monthly,False,Other
RERA-2019-0000048,2019-04-06,2019,4,DIFC,2,Apartment,178423,14869,12,Annual,False,India
RERA-2019-0000049,2019-07-05,2019,7,Deira,0,Apartment,31288,2607,24,Bi-annual,True,Philippines
RERA-2019-0000050,2019-10-14,2019,10,Town Square,2,Apartment,86263,7189,12,Annual,False,Other
