unit_id,building_id,unit_number,floor,bedrooms,bathrooms,area_sqft,property_type,view,is_furnished,current_status,last_transaction_year,last_sale_price_aed
UNIT-0000001,BLDG-005173,3603,77,2,3,1308,Studio,Sea View,False,Occupied,2017,1380589
UNIT-0000002,BLDG-004028,6815,40,0,3,3674,Apartment,City View,True,Occupied,2016,1125788
UNIT-0000003,BLDG-012814,4512,35,2,1,4215,Penthouse,Pool View,True,Occupied,2016,14898296
UNIT-0000004,BLDG-008471,7020,64,3,3,691,Apartment,No Preference,False,Occupied,2018,4583643
UNIT-0000005,BLDG-010970,5410,39,2,2,1054,Apartment,Sea View,False,Occupied,2020,11749396
UNIT-0000006,BLDG-001538,7408,66,1,2,2692,Villa,City View,False,Occupied,2018,621757
UNIT-0000007,BLDG-004496,504,61,2,2,4334,Penthouse,No Preference,True,Occupied,2018,1977401
UNIT-0000008,BLDG-010641,305,50,2,3,474,Apartment,Pool View,False,Occupied,2019,12179247
UNIT-0000009,BLDG-008956,6001,21,1,3,540,Apartment,City View,True,Vacant,2018,13451895
UNIT-0000010,BLDG-012789,3516,66,3,3,4450,Studio,Pool View,True,Occupied,2016,5201556
UNIT-0000011,BLDG-012302,3006,20,2,2,625,Apartment,No Preference,False,Vacant,2016,6661020
UNIT-0000012,BLDG-006230,1407,45,2,2,1599,Townhouse,Garden View,False,Vacant,2020,10645040
UNIT-0000013,BLDG-003414,7003,67,1,2,4727,Villa,Pool View,False,Occupied,2015,5152266
UNIT-0000014,BLDG-009296,404,47,1,2,2274,Apartment,No Preference,False,Occupied,2023,6733503
UNIT-0000015,BLDG-001451,5908,48,3,2,4783,Apartment,Pool View,True,Occupied,2015,10609803
UNIT-0000016,BLDG-003439,309,16,4,4,3952,Villa,Sea View,True,Occupied,2023,13977240
UNIT-0000017,BLDG-004300,7902,64,0,3,4598,Villa,No Preference,False,Vacant,2024,2646089
UNIT-0000018,BLDG-008527,8002,7,1,3,1725,Apartment,Sea View,False,Vacant,2020,7767856
UNIT-0000019,BLDG-003621,803,13,3,5,2571,Apartment,Garden View,False,Occupied,2018,5810785
UNIT-0000020,BLDG-008103,2117,74,3,2,2970,Penthouse,Sea View,True,Occupied,2024,11899390
UNIT-0000021,BLDG-007203,704,42,2,3,2898,Studio,Pool View,True,Occupied,2019,7186002
UNIT-0000022,BLDG-007558,806,17,2,3,3966,Penthouse,Garden View,False,Occupied,2022,912738
UNIT-0000023,BLDG-007975,2218,45,3,2,2261,Apartment,Sea View,False,Occupied,2024,8170460
UNIT-0000024,BLDG-014718,915,62,2,3,2993,Apartment,Sea View,True,Occupied,2022,2474346
UNIT-0000025,BLDG-003946,1914,50,2,2,4853,Apartment,Pool View,True,Occupied,2018,6573416
UNIT-0000026,BLDG-009780,4410,8,1,4,3674,Apartment,Pool View,True,Vacant,2019,11147048
UNIT-0000027,BLDG-006622,6210,14,5,3,4022,Apartment,Garden View,False,Occupied,2024,1995093
UNIT-0000028,BLDG-004772,7419,62,2,1,2113,Apartment,City View,False,Occupied,2021,5750408
UNIT-0000029,BLDG-000897,5908,26,2,5,4153,Apartment,City View,True,Occupied,2019,4881913
UNIT-0000030,BLDG-009203,4610,79,2,1,1210,Apartment,City View,False,Occupied,2017,13180025
UNIT-0000031,BLDG-007229,6620,47,1,4,4936,Apartment,Garden View,False,Under Renovation,2015,9007061
UNIT-0000032,BLDG-006446,1115,48,2,3,4476,Apartment,Garden View,True,Occupied,2022,9613946
UNIT-0000033,BLDG-001239,2402,41,2,3,1261,Penthouse,Pool View,True,Occupied,2021,7272613
UNIT-0000034,BLDG-003083,5607,79,1,1,2484,Apartment,Pool View,True,Occupied,2019,488685
UNIT-0000035,BLDG-008385,2915,24,0,4,1518,Penthouse,City View,True,Occupied,2015,3259408
UNIT-0000036,BLDG-009076,4407,27,5,2,1131,Townhouse,Sea View,True,Occupied,2021,3620351
UNIT-0000037,BLDG-002911,301,13,4,1,1593,Apartment,Garden View,True,Occupied,2024,5891899
UNIT-0000038,BLDG-007059,2014,56,4,2,974,Apartment,Sea View,True,Occupied,2016,11588687
UNIT-0000039,BLDG-003243,3620,31,3,3,3583,Penthouse,No Preference,False,Occupied,2020,12471472
UNIT-0000040,BLDG-002053,7516,65,1,3,4622,Apartment,Sea View,True,Occupied,2021,9019757
UNIT-0000041,BLDG-005875,3320,72,3,2,3871,Apartment,Sea View,False,Occupied,2022,10411554
UNIT-0000042,BLDG-003555,708,30,1,2,3120,Villa,City View,True,Occupied,2016,3343996
UNIT-0000043,BLDG-004923,5010,57,2,3,2489,Apartment,Garden View,True,Occupied,2022,1729806
UNIT-0000044,BLDG-011517,7913,39,3,1,581,Villa,Garden View,False,Occupied,2018,12585177
UNIT-0000045,BLDG-014024,2508,6,1,4,590,Apartment,Garden View,True,Occupied,2020,13057451
UNIT-0000046,BLDG-004018,1701,39,0,3,2671,Apartment,Pool View,True,Occupied,2020,3490233
UNIT-0000047,BLDG-013043,4102,74,1,2,521,Apartment,Sea View,False,Occupied,2016,1771026
UNIT-0000048,BLDG-003942,3502,30,3,3,3877,Apartment,Sea View,False,Occupied,2019,5256250
UNIT-0000049,BLDG-002077,1210,17,2,2,2758,Villa,City View,False,Vacant,2016,3363212
UNIT-0000050,BLDG-001885,3811,36,0,3,735,Townhouse,Pool View,True,Vacant,2020,13019121
UNIT-0000051,BLDG-006667,1005,79,2,4,4554,Townhouse,City View,True,Occupied,2022,11338158
UNIT-0000052,BLDG-001976,5319,20,1,2,4336,Penthouse,Garden View,False,Under Renovation,2024,11504507
UNIT-0000053,BLDG-003406,4211,24,2,3,1079,Apartment,City View,True,Occupied,2018,10580796
UNIT-0000054,BLDG-012322,6119,2,1,3,2589,Apartment,City View,False,Occupied,2019,10437438
UNIT-0000055,BLDG-005194,5202,23,2,4,1485,Apartment,Sea View,False,Vacant,2024,9964179
UNIT-0000056,BLDG-014048,401,74,2,2,606,Apartment,Garden View,False,Occupied,2024,4148159
UNIT-0000057,BLDG-003634,5305,39,2,2,1043,Apartment,Garden View,False,Vacant,2019,3889695
UNIT-0000058,BLDG-012937,4609,13,1,2,3314,Villa,No Preference,False,Vacant,2022,2389403
UNIT-0000059,BLDG-012119,7311,53,2,2,2203,Villa,Pool View,True,Vacant,2018,4722877
UNIT-0000060,BLDG-012573,707,52,1,5,2329,Apartment,Garden View,False,Occupied,2015,8629519
