dataset_name,category,file_path,total_records,total_columns,duplicate_records,avg_null_pct,max_null_pct,file_size_mb,status
developer_market_share,competitive,/home/claude/datasets/competitive/developer_market_share.csv,336,7,0,0.0,0.0,0.013,VALID
dubai_price_index_by_area_quarter,competitive,/home/claude/datasets/competitive/dubai_price_index_by_area_quarter.csv,600,10,0,0.0,0.0,0.036,VALID
property_listings_2024,competitive,/home/claude/datasets/competitive/property_listings_2024.csv,75000,20,0,0.0,0.0,10.006,VALID
airport_codes,infrastructure,/home/claude/datasets/infrastructure/airport_codes.csv,85543,13,0,27.16,89.41,8.819,VALID
dubai_bus_routes,infrastructure,/home/claude/datasets/infrastructure/dubai_bus_routes.csv,200,10,0,0.0,0.0,0.013,VALID
dubai_metro_stations,infrastructure,/home/claude/datasets/infrastructure/dubai_metro_stations.csv,30,11,0,0.0,0.0,0.002,VALID
uae_airports,infrastructure,/home/claude/datasets/infrastructure/uae_airports.csv,305,13,0,32.41,98.69,0.03,VALID
uae_cities,infrastructure,/home/claude/datasets/infrastructure/uae_cities.csv,63,4,0,0.0,0.0,0.003,VALID
uae_free_zones,infrastructure,/home/claude/datasets/infrastructure/uae_free_zones.csv,18,12,0,0.0,0.0,0.002,VALID
uae_infrastructure_projects,infrastructure,/home/claude/datasets/infrastructure/uae_infrastructure_projects.csv,500,13,0,0.0,0.0,0.06,VALID
world_cities,infrastructure,/home/claude/datasets/infrastructure/world_cities.csv,33747,4,0,0.09,0.37,1.318,VALID
country_codes,macroeconomic,/home/claude/datasets/macroeconomic/country_codes.csv,249,56,0,12.08,87.15,0.136,VALID
currency_codes,macroeconomic,/home/claude/datasets/macroeconomic/currency_codes.csv,449,6,0,17.11,62.36,0.019,VALID
gold_prices,macroeconomic,/home/claude/datasets/macroeconomic/gold_prices.csv,2321,2,0,0.0,0.0,0.033,VALID
mena_gdp_worldbank,macroeconomic,/home/claude/datasets/macroeconomic/mena_gdp_worldbank.csv,13979,4,0,0.0,0.0,0.561,VALID
mena_population_worldbank,macroeconomic,/home/claude/datasets/macroeconomic/mena_population_worldbank.csv,390,4,0,0.0,0.0,0.01,VALID
natural_gas_prices,macroeconomic,/home/claude/datasets/macroeconomic/natural_gas_prices.csv,353,2,0,0.0,0.0,0.005,VALID
oil_prices_brent,macroeconomic,/home/claude/datasets/macroeconomic/oil_prices_brent.csv,469,2,0,0.0,0.0,0.008,VALID
uae_cpi_inflation_monthly,macroeconomic,/home/claude/datasets/macroeconomic/uae_cpi_inflation_monthly.csv,180,10,0,0.0,0.0,0.012,VALID
uae_employment_statistics,macroeconomic,/home/claude/datasets/macroeconomic/uae_employment_statistics.csv,60,10,0,0.0,0.0,0.003,VALID
uae_fdi_statistics,macroeconomic,/home/claude/datasets/macroeconomic/uae_fdi_statistics.csv,10,6,0,0.0,0.0,0.0,VALID
uae_gdp_annual,macroeconomic,/home/claude/datasets/macroeconomic/uae_gdp_annual.csv,25,7,0,0.0,0.0,0.001,VALID
uae_interest_mortgage_rates,macroeconomic,/home/claude/datasets/macroeconomic/uae_interest_mortgage_rates.csv,120,12,0,0.0,0.0,0.009,VALID
uae_mena_gdp_filtered,macroeconomic,/home/claude/datasets/macroeconomic/uae_mena_gdp_filtered.csv,464,4,0,0.0,0.0,0.018,VALID
uae_population_demographics,macroeconomic,/home/claude/datasets/macroeconomic/uae_population_demographics.csv,25,11,0,0.0,0.0,0.002,VALID
uae_tourism_statistics,macroeconomic,/home/claude/datasets/macroeconomic/uae_tourism_statistics.csv,10,6,0,0.0,0.0,0.0,VALID
world_cpi,macroeconomic,/home/claude/datasets/macroeconomic/world_cpi.csv,11182,4,0,0.0,0.0,0.437,VALID
gdelt_monthly_sentiment_aggregated,news,/home/claude/datasets/news/gdelt_monthly_sentiment_aggregated.csv,1200,8,0,0.0,0.0,0.062,VALID
gdelt_uae_realestate_events,news,/home/claude/datasets/news/gdelt_uae_realestate_events.csv,50000,16,0,0.0,0.0,7.05,VALID
uae_realestate_sentiment_index,news,/home/claude/datasets/news/uae_realestate_sentiment_index.csv,60,9,0,0.0,0.0,0.003,VALID
dld_areas_lookup,real_estate,/home/claude/datasets/real_estate/dld_areas_lookup.csv,61,9,0,0.0,0.0,0.004,VALID
dld_buildings_data,real_estate,/home/claude/datasets/real_estate/dld_buildings_data.csv,15000,13,0,0.0,0.0,1.321,VALID
dld_land_registry,real_estate,/home/claude/datasets/real_estate/dld_land_registry.csv,8000,11,0,0.0,0.0,0.826,VALID
dld_projects_data,real_estate,/home/claude/datasets/real_estate/dld_projects_data.csv,2500,17,0,3.26,55.48,0.34,VALID
dld_rental_contracts_2019_2024,real_estate,/home/claude/datasets/real_estate/dld_rental_contracts_2019_2024.csv,123500,13,0,0.0,0.0,11.663,VALID
dld_transactions_2019_2024,real_estate,/home/claude/datasets/real_estate/dld_transactions_2019_2024.csv,456000,18,0,0.0,0.0,61.731,VALID
dld_units_data,real_estate,/home/claude/datasets/real_estate/dld_units_data.csv,50000,13,0,0.0,0.0,4.48,VALID
