contractor_id,contractor_name,contractor_type,specialization,country_of_origin,uae_license_no,grade,established_year,years_in_uae,completed_projects_uae,active_projects,max_capacity_sqm,preferred_developer_ids,performance_score,on_time_delivery_rate_pct,avg_cost_overrun_pct,quality_score,safety_record_score,rating,payment_terms_days,insurance_valid_until,rera_approved,blacklisted
CONT001,UAE MEP Group 1,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-46739,Grade B,2016,3,2,11,36507,DEV0016,71.8,61.5,13.0,53.4,78.1,3.2,30,2028-12-31,True,False
CONT002,UAE Civil Group 2,Civil,Foundations & Structural,UAE,DM-CONT-27798,Grade B,2019,1,10,1,57509,"DEV0012,DEV0014",62.3,72.7,8.1,92.3,85.2,2.2,60,2027-12-31,True,False
CONT003,India Main Group 3,Main Contractor,High-Rise Residential,India,DM-CONT-70408,Grade A,1990,9,8,5,22325,"DEV0007,DEV0011,DEV0019",80.2,79.5,0.0,71.1,79.5,4.4,45,2028-12-31,True,False
CONT004,UAE MEP Group 4,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-70806,Grade C,2017,5,4,2,57043,"DEV0002,DEV0007,DEV0001",96.2,86.3,7.0,73.1,87.2,4.0,60,2027-12-31,False,False
CONT005,China Main Group 5,Main Contractor,High-Rise Residential,China,DM-CONT-23330,Grade B,1999,3,13,10,55608,"DEV0001,DEV0011",80.7,99.8,4.9,93.5,91.6,3.2,60,2027-12-31,True,False
CONT006,UK Interior Group 6,Interior Fit-Out,Luxury Interior Finishing,UK,DM-CONT-85198,Grade B,2004,6,19,13,171825,DEV0015,100.0,100.0,9.0,60.1,92.8,3.8,60,2026-12-31,True,False
CONT007,India MEP Group 7,MEP Contractor,Mechanical Electrical Plumbing,India,DM-CONT-19616,Grade B,1996,12,21,1,167585,"DEV0003,DEV0016",57.8,75.6,14.3,62.9,77.3,3.9,45,2028-12-31,True,False
CONT008,UAE Civil Group 8,Civil,Foundations & Structural,UAE,DM-CONT-61470,Grade A,1996,8,4,5,25631,"DEV0003,DEV0017,DEV0009",94.7,90.6,7.3,72.8,58.7,3.1,45,2027-12-31,True,False
CONT009,UAE MEP Group 9,MEP Contractor,Mechanical Electrical Plumbing,UAE,DM-CONT-99607,Grade B,2017,2,8,5,11818,"DEV0007,DEV0020,DEV0014",56.0,51.7,9.0,81.8,81.9,3.2,45,2028-12-31,True,False
CONT010,UAE Civil Group 10,Civil,Foundations & Structural,UAE,DM-CONT-66172,Grade B,1996,28,11,5,39708,"DEV0008,DEV0014,DEV0018",69.5,72.4,6.2,93.9,77.7,3.8,90,2027-12-31,True,False
