record_id,report_date,year,month,quarter,developer_id,developer_name,total_bookings_units,total_booking_value_aed,revenue_recognized_aed,cost_of_goods_sold_aed,gross_profit_aed,gross_margin_pct,operating_expenses_aed,ebitda_aed,ebitda_margin_pct,collections_aed,collection_rate_pct,escrow_balance_aed,receivables_aed,cancellations_units,cancellation_rate_pct,construction_spend_aed,land_cost_aed,marketing_spend_aed,avg_selling_price_aed,units_handed_over,dld_fees_collected_aed
FIN000001,2019-01-01,2019,1,Q1,DEV0001,Emaar Properties,50,104352750,93529924,53381607,40148316,42.93,11514189,28634127,30.61,72293309,77.29,24573907,21929400,2,4.0,44051978,18255510,5374499,2087055,12,3741196
FIN000002,2019-01-01,2019,1,Q1,DEV0002,DAMAC Properties,95,194168790,177404865,124485684,52919180,29.83,18397318,34521862,19.46,141180587,79.58,28973808,39312791,10,10.53,94561722,18184745,5288617,2043882,14,7096194
FIN000003,2019-01-01,2019,1,Q1,DEV0003,Aldar Properties,65,128044150,117168300,81368762,35799537,30.55,18595712,17203825,14.68,76517089,65.31,29254265,14834698,5,7.69,68643306,19627921,2768451,1969910,3,4686732
FIN000004,2019-01-01,2019,1,Q1,DEV0004,Nakheel,89,164820257,146730329,102131969,44598359,30.39,22039846,22558513,15.37,116713979,79.54,41020889,26779010,5,5.62,79224498,17938121,3459429,1851913,6,5869213
FIN000005,2019-01-01,2019,1,Q1,DEV0005,Meraas,75,171471675,145105542,93630321,51475220,35.47,18285420,33189800,22.87,101161208,69.72,42215903,19464884,4,5.33,78280223,25162104,3854151,2286289,33,5804221
FIN000006,2019-01-01,2019,1,Q1,DEV0006,Sobha Realty,73,162896726,152486355,96148247,56338107,36.95,19977744,36360363,23.84,117913613,77.33,44603012,30330423,2,2.74,68103841,13956731,7164840,2231462,15,6099454
FIN000007,2019-01-01,2019,1,Q1,DEV0007,Azizi Developments,51,66150366,53078347,33101178,19977168,37.64,9230647,10746521,20.25,35446140,66.78,9669775,8565218,3,5.88,23383532,6496746,1866007,1297066,21,2123133
FIN000008,2019-01-01,2019,1,Q1,DEV0008,Danube Properties,49,74881996,70168103,43674307,26493795,37.76,8823862,17669933,25.18,42497369,60.57,20947248,10389950,2,4.08,35554205,11649151,3999442,1528204,19,2806724
FIN000009,2019-01-01,2019,1,Q1,DEV0009,Binghatti,65,85327190,76726484,43634221,33092262,43.13,10054028,23038234,30.03,62623930,81.62,14967567,10255757,3,4.62,36106173,10106876,3946076,1312726,12,3069059
FIN000010,2019-01-01,2019,1,Q1,DEV0010,Ellington Properties,56,101843280,90126617,64828701,25297915,28.07,12711216,12586699,13.97,56654194,62.86,24003841,19575253,3,5.36,45669065,14254226,2016552,1818630,55,3605064
FIN000011,2019-01-01,2019,1,Q1,DEV0011,RAK Properties,27,53204850,46844669,31287798,15556870,33.21,8255843,7301027,15.59,32676354,69.75,11067475,5614446,2,7.41,26411001,4736814,2600595,1970550,14,1873786
FIN000012,2019-01-01,2019,1,Q1,DEV0012,Tiger Properties,81,155146671,130193207,93535800,36657406,28.16,18904518,17752888,13.64,82432131,63.32,26828403,17001313,6,7.41,81594510,22697707,3135711,1915391,26,5207728
FIN000013,2019-01-01,2019,1,Q1,DEV0013,Imtiaz Developments,11,18358395,16647504,9976241,6671262,40.07,2102980,4568282,27.44,10141351,60.92,4021563,3973742,0,0.0,7720739,2763114,842189,1668945,5,665900
FIN000014,2019-01-01,2019,1,Q1,DEV0014,Select Group,32,42517696,37516188,25134009,12382178,33.0,6681455,5700723,15.2,24340848,64.88,7392360,4892414,3,9.38,20861579,5902905,1643161,1328678,16,1500647
FIN000015,2019-01-01,2019,1,Q1,DEV0015,Reportage Properties,13,16972462,15133826,9758891,5374934,35.52,1991239,3383695,22.36,10452711,69.07,4260241,3306703,0,0.0,8220437,2010404,647588,1305574,3,605353
FIN000016,2019-01-01,2019,1,Q1,DEV0016,Samana Developers,-13,-16960983,-14047370,-9979076,-4068293,28.96,-1550101,-2518192,-251819200.0,-9847927,-984792700.0,-3375599,-1507488,-1,-100.0,-8650873,-2780745,-352584,1304691,0,-561894
FIN000017,2019-01-01,2019,1,Q1,DEV0017,Object 1,22,20271130,18903219,11858655,7044563,37.27,2613367,4431196,23.44,12863718,68.05,3241686,2993362,2,9.09,9904924,3436448,940004,921415,2,756128
FIN000018,2019-01-01,2019,1,Q1,DEV0018,Majid Al Futtaim,83,168391645,144775761,85451419,59324341,40.98,15475696,43848645,30.29,121946219,84.23,41876475,27159799,3,3.61,67619258,25641404,8007916,2028815,55,5791030
FIN000019,2019-01-01,2019,1,Q1,DEV0019,Dubai Properties,71,162230882,131273413,82477010,48796402,37.17,13851413,34944989,26.62,109354078,83.3,27809038,18627807,4,5.63,62911221,10767545,5870136,2284942,27,5250936
FIN000020,2019-01-01,2019,1,Q1,DEV0020,Meydan Group,89,193223895,168935876,115163512,53772363,31.83,20747246,33025117,19.55,133280456,78.89,47727277,18192372,10,11.24,85771679,27655831,5448327,2171055,0,6757435
