record_date,year,month,quarter,uae_central_bank_base_rate_pct,mortgage_rate_avg_pct,eibor_3m_pct,inflation_cpi,uae_gdp_growth_pct,oil_price_usd_bbl,uae_population_millions,population_growth_rate_pct,consumer_confidence_index,golden_visa_applications,new_project_launches,foreign_investment_inflow_bn_aed,tourism_arrivals_millions,off_plan_sales_share_pct,nri_investment_share_pct,google_trends_index,event_demand_multiplier,expo_effect,ramadan_month,is_covid_period,hormuz_crisis_effect,usd_aed_rate,dubai_property_price_index,abudhabi_property_price_index,uae_unemployment_rate_pct
2019-01-01,2019,1,Q1,5.0,7.33,4.62,99.32,3.16,55.63,9.69,2.09,127.8,0,47,6.76,1.43,0.302,0.211,32.4,1.021,False,False,False,False,3.6725,100.91,98.86,3.07
2019-02-01,2019,2,Q1,5.0,6.96,4.8,100.43,3.3,66.24,9.78,2.62,114.3,0,41,3.12,1.27,0.37,0.172,41.3,1.04,False,False,False,False,3.6725,101.8,99.15,3.01
2019-03-01,2019,3,Q1,5.0,7.21,4.68,100.38,3.55,64.44,9.82,2.66,125.4,0,44,5.46,1.56,0.353,0.184,37.3,1.015,False,False,False,False,3.6725,97.2,100.5,2.95
2019-04-01,2019,4,Q2,5.0,7.4,4.62,99.9,3.62,69.1,9.8,2.52,111.0,0,61,6.29,1.24,0.406,0.202,48.8,1.037,False,False,False,False,3.6725,99.97,100.0,2.87
2019-05-01,2019,5,Q2,5.0,7.0,4.64,99.91,3.26,71.59,9.74,2.62,120.4,0,62,6.95,1.28,0.414,0.186,47.4,1.034,False,True,False,False,3.6725,102.55,98.74,2.87
2019-06-01,2019,6,Q2,5.0,6.81,4.62,100.06,3.09,65.22,9.8,3.11,123.2,0,43,4.58,1.35,0.359,0.225,40.9,1.013,False,True,False,False,3.6725,101.83,97.29,3.04
2019-07-01,2019,7,Q3,4.75,7.23,4.41,99.42,2.89,56.43,9.64,2.77,120.1,0,36,7.77,1.24,0.421,0.199,56.5,1.043,False,False,False,False,3.6725,99.42,99.97,3.06
2019-08-01,2019,8,Q3,4.75,6.59,4.47,100.84,3.45,57.69,9.78,2.67,121.3,0,25,6.67,1.06,0.375,0.227,28.9,1.023,False,False,False,False,3.6725,98.48,99.14,3.58
2019-09-01,2019,9,Q3,4.5,6.55,4.15,100.93,3.41,62.87,9.65,2.57,124.8,0,53,3.72,1.26,0.409,0.197,49.0,1.038,False,False,False,False,3.6725,99.91,100.01,3.08
2019-10-01,2019,10,Q4,4.25,6.04,4.02,100.01,3.48,57.81,9.85,2.26,110.7,0,35,5.42,1.46,0.391,0.187,43.0,1.089,False,False,False,False,3.6725,99.33,98.33,3.34
