record_id,record_date,year,month,emirate,city,locality,property_type,property_category,bedrooms,avg_annual_rent_aed,avg_monthly_rent_aed,avg_rent_per_sqft_aed,gross_rental_yield_pct,property_value_estimate_aed,vacancy_rate_pct,str_occupancy_rate_pct,str_adr_aed,str_revpar_aed,ejari_registrations,rera_standard_rent_aed,rent_increase_pct_yoy,demand_supply_ratio,new_rental_listings
RNT000001,2019-01-01,2019,1,Sharjah,Sharjah,Al Yarmook,Apartment,Ultra-Luxury,1BR,1076002,89666,484.92,3.874,27773266,9.86,72.7,7482,5439,61,1075042,8.59,0.71,23
RNT000002,2019-01-01,2019,1,Sharjah,Sharjah,Al Nahda,Apartment,Mid-Market,2BR,136762,11396,65.16,6.158,2220833,17.83,55.4,973,539,13,143233,7.22,1.595,40
RNT000003,2019-01-01,2019,1,Dubai,Dubai,JVC,Apartment,Premium,3BR,138012,11501,128.97,6.663,2071470,9.39,72.0,947,681,35,129045,3.3,0.994,125
RNT000004,2019-01-01,2019,1,Sharjah,Sharjah,Al Nahda,Apartment,Affordable,2BR,26278,2189,47.73,7.334,358318,11.75,71.1,136,96,148,27160,7.39,0.899,164
RNT000005,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Masdar City,Apartment,Premium,3BR,195487,16290,155.87,5.537,3530483,5.9,62.3,1736,1081,83,179418,-2.14,0.812,22
RNT000006,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Reef,Apartment,Premium,2BR,267302,22275,187.89,6.359,4203259,15.87,63.1,1864,1176,236,261186,0.16,1.143,5
RNT000007,2019-01-01,2019,1,Sharjah,Sharjah,Muwaileh,Apartment,Affordable,5BR+,21996,1833,25.46,7.11,309378,10.74,56.2,111,62,41,20186,3.32,0.76,5
RNT000008,2019-01-01,2019,1,Ras Al Khaimah,Ras Al Khaimah,Hayat Island,Apartment,Premium,2BR,85557,7129,115.39,5.635,1518237,8.38,56.0,630,352,33,86889,2.57,0.992,27
RNT000009,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Saadiyat Island,Townhouse,Premium,2BR,370868,30905,154.51,5.477,6771505,19.51,73.4,2301,1688,77,349992,2.59,0.792,23
RNT000010,2019-01-01,2019,1,Dubai,Dubai,Al Furjan,Apartment,Premium,3BR,514671,42889,206.37,7.225,7123058,7.95,78.4,4241,3324,58,469133,4.15,0.83,2
RNT000011,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Reef,Apartment,Premium,3BR,324081,27006,139.62,5.298,6117502,7.99,67.5,2650,1788,82,339527,4.15,1.556,5
RNT000012,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Yas Acres,Villa,Mid-Market,2BR,153410,12784,94.49,6.488,2364553,10.13,62.0,825,511,78,159818,1.84,0.751,30
RNT000013,2019-01-01,2019,1,Abu Dhabi,Abu Dhabi,Al Shamkha,Townhouse,Ultra-Luxury,1BR,318835,26569,446.14,4.253,7496460,21.13,68.4,2829,1935,51,326848,0.95,1.111,0
