dealer_id,dealer_name,brand,region,city,established_year,years_active,synthetic_tier,google_place_id,google_name,google_rating,user_ratings_total,reviews_per_year,distance_km,match_confidence,query_used,brand_rank,brand_rank_per_year,brand_sales_weight
DLR0015,AGMC - Dubai,BMW,Dubai,Dubai,1996,30,Platinum,ChIJ3Uctl-lpXz4RhhyZW3iwkXI,AGMC - BMW - Sheikh Zayed Road,4.3,3596,119.9,0.49,medium,AGMC - Dubai,1,1,0.979
DLR0016,AGMC - Sharjah,BMW,Sharjah,Sharjah,2004,22,Gold,ChIJSeOVUl9ZXz4RTRwHUhxxLNE,Al Ibdaa Al Mutamayez Auto Maintenance Workshop,4.3,66,3.0,1.55,low,AGMC - Sharjah BMW,2,2,0.018
DLR0017,AGMC - Ras Al Khaimah,BMW,Ras Al Khaimah,Ras Al Khaimah,2010,16,Silver,ChIJMzAcAVRx9j4RhraSNFwC1EE,BEST AUTO SPARE PARTS LLC,4.3,11,0.7,2.9,low,AGMC - Ras Al Khaimah BMW,3,3,0.003
DLR0048,Al Ghandi - Sharjah Chevrolet,Chevrolet,Sharjah,Sharjah,2007,19,Silver,ChIJ3a2XMV1ZXz4RVfhZmJL1dx8,Al Ghandi Auto Showroom Sharjah - معرض الكندي للسيارات الشارقة,4.1,1155,60.8,0.69,medium,Al Ghandi - Sharjah Chevrolet,1,1,0.9561
DLR0032,Al Ghandi Auto - Dubai Chevrolet,Chevrolet,Dubai,Dubai,1971,55,Gold,ChIJVYKAIdlDXz4RL913WYUUhGY,Cadillac Boutique by Al Ghandi Auto,4.4,51,0.9,1.13,medium,Al Ghandi Auto - Dubai Chevrolet,2,2,0.0422
DLR0033,Al Ghandi Auto - Abu Dhabi Chevrolet,Chevrolet,Abu Dhabi,Abu Dhabi,1975,51,Gold,ChIJ1Qp5tiVpXj4Ruw66cBpVFik,Al Ghandi Auto Parts Abu Dhabi,1.5,2,0.0,0.66,medium,Al Ghandi Auto - Abu Dhabi Chevrolet,3,3,0.0017
DLR0050,Emirates Motor Co - Al Ain Ford,Ford,Al Ain,Al Ain,2018,8,Bronze,ChIJI4gkL7W2ij4Rx8XuLWbuaGA,Emirates Insurance Company (PJSC) - Al Ain,3.9,152,19.0,1.84,low,Emirates Motor Co Al Ain,1,1,0.5609
DLR0034,Emirates Motor Company - Abu Dhabi Ford,Ford,Abu Dhabi,Abu Dhabi,1981,45,Gold,ChIJW7DraC1mXj4R7Fs9hvZpnBc,Nasco Emirates,4.4,68,1.5,1.04,medium,Emirates Motor Company Abu Dhabi,2,3,0.2509
DLR0044,United Diesel - Dubai Ford,Ford,Dubai,Dubai,2005,21,Silver,ChIJVYKAIdlDXz4RL913WYUUhGY,Cadillac Boutique by Al Ghandi Auto,4.4,51,2.4,0.35,medium,Ford dealer Dubai UAE,3,2,0.1882
DLR0035,International Traders - Dubai Ford,Ford,Dubai,Dubai,1991,35,Gold,ChIJx4YO8odCXz4RdWOjaeJH-MU,International Traders (ME) Ltd.,,0,0.0,1.13,medium,International Traders Ford Dubai,4,4,0.0
DLR0005,Al-Futtaim Honda - Dubai,Honda,Dubai,Dubai,2003,23,Gold,ChIJCbKNTIJCXz4RZy1lqpMwM0g,"Holistay Luxury Homes, Down Town Direct Access Dubai Mall - family studio @downtown , direct access to dubai mall",,0,0.0,1.49,medium,Al Dubai,1,1,0.0
DLR0006,Al-Futtaim Honda - Abu Dhabi,Honda,Abu Dhabi,Abu Dhabi,2008,18,Gold,ChIJufI-cg9EXj4RCBGXQZMuzMc,Abu Dhabi,,0,0.0,0.82,medium,Al Abu Dhabi,1,1,0.0
DLR0027,Juma Al Majid - Sharjah Hyundai,Hyundai,Sharjah,Sharjah,1980,46,Gold,ChIJ54UHwmFZXz4RFmEz0hI140o,Juma Al Majid Electro Mechanical Works,3.2,13,0.3,2.25,low,Juma Al Majid Sharjah,1,1,1.0
DLR0026,Juma Al Majid - Dubai Hyundai,Hyundai,Dubai,Dubai,1974,52,Platinum,ChIJTyoPIm5DXz4RbBpHLnOTb-k,Majid,,0,0.0,0.98,medium,Juma Al Majid - Dubai Hyundai,2,2,0.0
DLR0028,Juma Al Majid - Abu Dhabi Hyundai,Hyundai,Abu Dhabi,Abu Dhabi,1985,41,Gold,,,,0,0.0,-1.0,not_found,,2,2,0.0
DLR0049,Juma Al Majid - Ajman Hyundai,Hyundai,Ajman,Ajman,2015,11,Bronze,,,,0,0.0,-1.0,not_found,,2,2,0.0
DLR0023,Ali & Sons - Abu Dhabi Jeep,Jeep,Abu Dhabi,Abu Dhabi,2001,25,Gold,ChIJO9UnaUJpXj4RaQH41KQE58o,ISG Middle East,,0,0.0,1.02,medium,Ali & Sons Abu Dhabi,1,1,0.0
DLR0029,Kia UAE - Dubai Motor City,Kia,Dubai,Dubai,2008,18,Gold,,,,0,0.0,-1.0,not_found,,1,1,0.0
